"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",30.4082,33.3777,33.3786,33.379,33.3791,33.7274,0,0,0,1,1,100,50,TRUE,2,2.6651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",33.7316,36.7271,36.7277,36.7285,36.7285,37.0764,0,1,1,2,1,14,45,TRUE,2,2.0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",37.0807,40.0747,40.0753,40.0754,40.0756,40.4246,0,2,2,3,1,3,27,TRUE,1,1.0676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",40.428,43.4236,43.4241,43.4241,43.4241,43.7736,0,3,3,0,1,7,30,TRUE,2,1.6042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",43.7768,46.7726,46.7736,46.7737,46.7738,47.1216,0,4,4,4,1,30,40,TRUE,2,1.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,70.6786,70.6902,70.6903,71.0282,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7604,67.7049,70.6781,0,0,0,64,1,50,46,NA,NA,NA,NA,NA,1,1,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,74.0273,74.0273,74.0273,74.3759,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8127,71.0308,74.0271,0,1,1,30,1,25,27,NA,NA,NA,NA,NA,1,2,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,77.375,77.375,77.375,77.7239,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9266,74.3796,77.3742,0,2,2,42,1,30,26,NA,NA,NA,NA,NA,1,3,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,80.7236,80.7236,80.7236,81.0719,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8083,77.7272,80.7233,0,3,3,50,1,40,35,NA,NA,NA,NA,NA,1,4,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,84.0722,84.0722,84.0722,84.4211,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2073,81.0752,84.072,0,4,4,81,1,95,40,NA,NA,NA,NA,NA,1,5,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,87.4194,87.4195,87.4195,87.7691,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5745,84.4244,87.4191,0,5,5,45,1,30,30,NA,NA,NA,NA,NA,1,6,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,90.7684,90.7684,90.7685,91.1171,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3327,87.7727,90.7682,0,6,6,23,1,14,39,NA,NA,NA,NA,NA,1,7,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,94.1215,94.1217,94.1217,94.4693,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0618,91.1194,94.1213,0,7,7,94,1,150,47,NA,NA,NA,NA,NA,1,8,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,97.482,97.4822,97.4826,97.8313,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8823,94.4721,97.4817,0,8,8,26,1,21,29,NA,NA,NA,NA,NA,1,9,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,100.8304,100.8306,100.8306,101.1795,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5728,97.8342,100.8299,0,9,9,59,1,45,46,NA,NA,NA,NA,NA,1,10,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,104.1786,104.1787,104.1787,104.5331,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.9102,101.1829,104.1784,0,10,10,9,1,10,29,NA,NA,NA,NA,NA,1,11,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,107.5276,107.5277,107.5277,107.8765,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9018,104.5361,107.5269,0,11,11,60,1,50,27,NA,NA,NA,NA,NA,1,12,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,110.8756,110.8757,110.8758,111.2259,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7153,107.8795,110.8752,0,12,12,15,1,12,31,NA,NA,NA,NA,NA,1,13,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,114.2245,114.225,114.225,114.5784,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.266,111.2289,114.224,0,13,13,107,1,200,54,NA,NA,NA,NA,NA,1,14,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,117.5722,117.5726,117.5726,117.9211,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9839,114.5802,117.5719,0,14,14,22,1,14,35,NA,NA,NA,NA,NA,1,15,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,120.9204,120.9205,120.9205,121.2737,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6673,117.9232,120.92,0,15,15,91,1,150,33,NA,NA,NA,NA,NA,1,16,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,124.2686,124.2688,124.2689,124.6221,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8171,121.2774,124.2683,0,16,16,98,1,180,35,NA,NA,NA,NA,NA,1,17,"binary"
"056F472A049441DA8289C03C8EC68EC7",1,"01990aa4-08f0-7c16-9bea-7aae3c448d4e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h36.15.140",NA,NA,127.6225,127.6226,127.6226,127.9671,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.901,124.6249,127.6219,0,17,17,29,1,21,38,NA,NA,NA,NA,NA,1,18,"binary"
