"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",192.0559,195.0273,195.0285,195.0383,195.0384,195.3772,0,0,0,4,1,30,40,TRUE,1,2.4725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",195.3806,198.3787,198.379,198.6277,198.6279,198.7285,0,1,1,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",198.731,201.7283,201.7287,201.7288,201.7289,202.078,0,2,2,1,1,100,50,TRUE,1,1.4521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",202.0804,205.0786,205.0787,205.0788,205.079,205.4273,0,3,3,0,1,7,30,TRUE,1,1.2186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",205.4301,208.4276,208.4282,208.4284,208.4284,208.7773,0,4,4,3,1,3,27,TRUE,1,2.2539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",NA,NA,246.0255,246.0257,246.0258,246.3748,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9239,243.0646,246.025,0,0,0,25,1,21,27,NA,NA,NA,NA,NA,1,1,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",NA,NA,249.3749,249.375,249.375,249.7245,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9283,246.3782,249.3747,0,1,1,28,1,21,32,NA,NA,NA,NA,NA,1,2,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",NA,NA,252.7246,252.7247,252.7247,253.0744,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.264,249.7283,252.7244,0,2,2,36,1,28,26,NA,NA,NA,NA,NA,1,3,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",NA,NA,256.0744,256.0745,256.0745,256.4243,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0477,253.0776,256.0743,0,3,3,18,1,14,25,NA,NA,NA,NA,NA,1,4,"binary"
"0870B39E7CB348DBB74699311458D574",1,"01990a97-c6b5-72f3-bf18-9e2d0b619bfb","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.233",NA,NA,259.4243,259.4244,259.4244,259.7741,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.949,256.4277,259.4241,0,4,4,81,1,95,40,NA,NA,NA,NA,NA,1,5,"binary"
