"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",36.968,39.956,39.956,39.96,39.96,40.306,0,0,0,2,1,14,45,TRUE,2,2.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",40.307,43.305,43.305,43.305,43.305,43.656,0,1,1,4,1,30,40,TRUE,2,2.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",43.657,46.656,46.656,46.656,46.656,47.006,0,2,2,1,1,100,50,TRUE,1,1.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",47.01,50.006,50.006,50.006,50.006,50.356,0,3,3,0,1,7,30,TRUE,1,1.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",50.358,53.356,53.356,53.607,53.607,53.706,0,4,4,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,81.908,81.908,81.908,82.258,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.177,78.921,81.908,0,0,0,101,1,180,54,NA,NA,NA,NA,NA,1,1,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,85.258,85.258,85.258,85.608,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.997,82.26,85.258,0,1,1,50,1,40,35,NA,NA,NA,NA,NA,1,2,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,88.609,88.609,88.609,88.958,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.89,85.61,88.608,0,2,2,81,1,95,40,NA,NA,NA,NA,NA,1,3,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,91.959,91.959,91.959,92.308,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.872,88.965,91.959,0,3,3,84,1,100,26,NA,NA,NA,NA,NA,1,4,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,95.309,95.31,95.31,95.659,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.949,92.311,95.308,0,4,4,73,1,90,30,NA,NA,NA,NA,NA,1,5,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,98.659,98.659,98.659,99.009,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.722,95.66,98.659,0,5,5,58,1,45,40,NA,NA,NA,NA,NA,1,6,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,102.01,102.01,102.01,102.359,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.733,99.011,102.01,0,6,6,42,1,30,26,NA,NA,NA,NA,NA,1,7,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,105.359,105.36,105.36,105.71,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.826,102.36,105.359,0,7,7,78,1,95,31,NA,NA,NA,NA,NA,1,8,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,108.71,108.71,108.71,109.06,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.73,105.71,108.71,0,8,8,57,1,45,35,NA,NA,NA,NA,NA,1,9,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,112.06,112.06,112.06,112.41,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.653,109.061,112.06,0,9,9,75,1,90,40,NA,NA,NA,NA,NA,1,10,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,115.41,115.41,115.41,115.76,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.913,112.411,115.41,0,10,10,31,1,25,29,NA,NA,NA,NA,NA,1,11,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,118.761,118.761,118.761,119.111,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.696,115.761,118.76,0,11,11,47,1,30,38,NA,NA,NA,NA,NA,1,12,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,122.11,122.11,122.11,122.461,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.627,119.116,122.11,0,12,12,64,1,50,46,NA,NA,NA,NA,NA,1,13,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,125.461,125.461,125.461,125.81,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.502,122.462,125.461,0,13,13,59,1,45,46,NA,NA,NA,NA,NA,1,14,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,128.811,128.811,128.811,129.161,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.261,125.812,128.811,0,14,14,3,1,7,30,NA,NA,NA,NA,NA,1,15,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,132.162,132.162,132.162,132.511,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.632,129.164,132.162,0,15,15,98,1,180,35,NA,NA,NA,NA,NA,1,16,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,135.511,135.512,135.512,135.861,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.453,132.512,135.511,0,16,16,18,1,14,25,NA,NA,NA,NA,NA,1,17,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,138.861,138.861,138.861,139.212,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.662,135.862,138.861,0,17,17,67,1,60,33,NA,NA,NA,NA,NA,1,18,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,142.212,142.212,142.212,142.562,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.73,139.213,142.212,0,18,18,90,1,150,31,NA,NA,NA,NA,NA,1,19,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,145.546,145.546,145.546,145.912,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.595,142.563,145.546,0,19,19,26,1,21,29,NA,NA,NA,NA,NA,1,20,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,148.896,148.896,148.896,149.246,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.48,145.913,148.896,0,20,20,52,1,40,47,NA,NA,NA,NA,NA,1,21,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,152.247,152.247,152.247,152.596,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.539,149.247,152.246,0,21,21,69,1,60,40,NA,NA,NA,NA,NA,1,22,"binary"
"098CCA7B6D0444D7B195569D94FB388C",1,"0198f77e-165d-750f-9e63-200e1d10ffa4","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h21.52.913",NA,NA,155.596,155.596,155.596,155.963,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.614,152.601,155.596,0,22,22,79,1,95,33,NA,NA,NA,NA,NA,1,23,"binary"
