"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",172.4414,175.4067,175.4073,175.4073,175.4074,175.7648,0,0,0,1,1,100,50,TRUE,1,1.5578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",175.7669,178.7622,178.7625,178.7625,178.7625,179.1184,0,1,1,3,1,3,27,TRUE,1,2.7498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",179.1199,182.1092,182.1095,182.1095,182.1095,182.4562,0,2,2,4,1,30,40,TRUE,1,2.1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",182.4577,185.4632,185.4635,185.4672,185.4672,185.8129,0,3,3,2,1,14,45,TRUE,1,2.4999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",185.8143,188.8055,188.8057,188.8057,188.8057,189.159,0,4,4,0,1,7,30,TRUE,1,1.2073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1038.638,1038.6382,1038.6382,1038.987,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2676,1035.6536,1038.6377,0,0,0,24,1,21,26,NA,NA,NA,NA,NA,1,1,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1041.9766,1041.9766,1041.9766,1042.3255,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5585,1038.9884,1041.9763,0,1,1,65,1,50,54,NA,NA,NA,NA,NA,1,2,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1045.3306,1045.3306,1045.3306,1045.6827,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.165,1042.3266,1045.3301,0,2,2,35,1,25,46,NA,NA,NA,NA,NA,1,3,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1048.6786,1048.6786,1048.6786,1049.0255,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6571,1045.6843,1048.6783,0,3,3,69,1,60,40,NA,NA,NA,NA,NA,1,4,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1052.0372,1052.0372,1052.0372,1052.384,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4998,1049.0269,1052.0365,0,4,4,36,1,28,26,NA,NA,NA,NA,NA,1,5,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1055.3869,1055.387,1055.387,1055.7323,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.131,1052.3852,1055.3866,0,5,5,63,1,50,40,NA,NA,NA,NA,NA,1,6,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1058.7278,1058.7279,1058.728,1059.078,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9585,1055.7334,1058.7276,0,6,6,7,1,10,26,NA,NA,NA,NA,NA,1,7,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1062.0825,1062.0825,1062.0825,1062.4301,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4846,1059.0794,1062.0822,0,7,7,9,1,10,29,NA,NA,NA,NA,NA,1,8,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1065.4384,1065.4384,1065.4384,1065.7867,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8596,1062.4314,1065.4379,0,8,8,83,1,95,54,NA,NA,NA,NA,NA,1,9,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1068.7805,1068.7805,1068.7805,1069.1294,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6388,1065.7879,1068.7802,0,9,9,79,1,95,33,NA,NA,NA,NA,NA,1,10,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1072.1289,1072.1289,1072.1289,1072.4777,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4595,1069.1306,1072.1287,0,10,10,39,1,28,35,NA,NA,NA,NA,NA,1,11,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1075.4839,1075.4839,1075.4839,1075.8341,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9121,1072.4789,1075.4836,0,11,11,61,1,50,30,NA,NA,NA,NA,NA,1,12,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1078.8341,1078.8341,1078.8341,1079.1857,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1566,1075.8356,1078.8337,0,12,12,5,1,7,35,NA,NA,NA,NA,NA,1,13,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1082.1749,1082.1749,1082.1749,1082.524,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.914,1079.1869,1082.1747,0,13,13,103,1,200,28,NA,NA,NA,NA,NA,1,14,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1085.5297,1085.5299,1085.5299,1085.8761,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9807,1082.5252,1085.5296,0,14,14,66,1,60,29,NA,NA,NA,NA,NA,1,15,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1088.8908,1088.8908,1088.8908,1089.2244,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0894,1085.8772,1088.8905,0,15,15,58,1,45,40,NA,NA,NA,NA,NA,1,16,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1092.2424,1092.2425,1092.2425,1092.5871,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0288,1089.2256,1092.2422,0,16,16,11,1,10,32,NA,NA,NA,NA,NA,1,17,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1095.5898,1095.5898,1095.5898,1095.9245,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6975,1092.5882,1095.5894,0,17,17,87,1,100,39,NA,NA,NA,NA,NA,1,18,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1098.9288,1098.9288,1098.9288,1099.2799,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2425,1095.9258,1098.9285,0,18,18,33,1,25,33,NA,NA,NA,NA,NA,1,19,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1102.2797,1102.2797,1102.2797,1102.6268,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0371,1099.2813,1102.2794,0,19,19,45,1,30,30,NA,NA,NA,NA,NA,1,20,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1105.6324,1105.6324,1105.6324,1105.9774,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1315,1102.628,1105.6322,0,20,20,10,1,10,30,NA,NA,NA,NA,NA,1,21,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1108.9811,1108.9811,1108.9811,1109.3276,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0414,1105.9785,1108.9809,0,21,21,76,1,90,46,NA,NA,NA,NA,NA,1,22,"binary"
"1403A555DC784AEB95EA3FFB5001082E",1,"01990a98-3f5e-7f47-ad08-d61af1d7d1b9","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h25.00.232",NA,NA,1112.3292,1112.3292,1112.3293,1112.6789,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8964,1109.3287,1112.329,0,22,22,49,1,40,33,NA,NA,NA,NA,NA,1,23,"binary"
