"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",66.4628,69.4012,69.4046,69.6546,69.6551,69.7538,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",69.7585,72.7494,72.7501,72.7503,72.7507,73.0989,0,1,1,1,1,100,50,TRUE,2,1.4977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",73.1047,76.1003,76.1005,76.1006,76.1007,76.4479,0,2,2,2,1,14,45,TRUE,2,1.1708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",76.4535,79.4482,79.4488,79.4489,79.4489,79.8008,0,3,3,0,1,7,30,TRUE,1,1.2192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",79.8082,82.7969,82.7974,82.7975,82.7976,83.147,0,4,4,4,1,30,40,TRUE,2,0.8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,111.5712,111.5719,111.5726,111.9194,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0958,108.6112,111.5698,0,0,0,33,1,25,33,NA,NA,NA,NA,NA,1,1,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,114.9197,114.9198,114.92,115.2684,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.4077,111.9271,114.9189,0,1,1,47,1,30,38,NA,NA,NA,NA,NA,1,2,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,118.2669,118.2672,118.2674,118.6161,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0683,115.2735,118.2663,0,2,2,11,1,10,32,NA,NA,NA,NA,NA,1,3,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,121.6167,121.6168,121.6168,121.9662,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8478,118.6184,121.6164,0,3,3,78,1,95,31,NA,NA,NA,NA,NA,1,4,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,124.9653,124.9654,124.9655,125.3153,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7466,121.9691,124.9645,0,4,4,89,1,100,54,NA,NA,NA,NA,NA,1,5,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,128.3147,128.3148,128.3151,128.6642,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7626,125.3192,128.3143,0,5,5,35,1,25,46,NA,NA,NA,NA,NA,1,6,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,131.6638,131.664,131.6641,132.0124,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6963,128.6677,131.6626,0,6,6,106,1,200,47,NA,NA,NA,NA,NA,1,7,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,135.0135,135.0138,135.0139,135.3772,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0762,132.0192,135.0133,0,7,7,58,1,45,40,NA,NA,NA,NA,NA,1,8,"binary"
"171DEC1860E7498A962991D13A17DE21",1,"01990a98-0b5f-7ac2-804d-7a7dc0856a7e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_22h23.28.628",NA,NA,138.3634,138.3637,138.3638,138.7123,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3861,135.3793,138.363,0,8,8,97,1,180,31,NA,NA,NA,NA,NA,1,9,"binary"
