"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",29.047,32.02,32.021,32.022,32.022,32.369,0,0,0,2,1,14,45,TRUE,1,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",32.372,35.37,35.37,35.37,35.37,35.719,0,1,1,4,1,30,40,TRUE,1,1.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",35.723,38.719,38.719,38.72,38.72,39.069,0,2,2,0,1,7,30,TRUE,1,1.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",39.072,42.069,42.07,42.07,42.07,42.419,0,3,3,1,1,100,50,TRUE,1,2.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",42.422,45.419,45.42,45.42,45.42,45.769,0,4,4,3,1,3,27,TRUE,1,1.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,77.837,77.837,77.837,78.186,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.332,74.852,77.837,0,0,0,101,1,180,54,NA,NA,NA,NA,NA,1,1,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,81.186,81.187,81.187,81.536,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.111,78.189,81.186,0,1,1,74,1,90,33,NA,NA,NA,NA,NA,1,2,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,84.536,84.536,84.536,84.886,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.668,81.539,84.536,0,2,2,50,1,40,35,NA,NA,NA,NA,NA,1,3,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,87.886,87.887,87.887,88.235,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.935,84.89,87.886,0,3,3,53,1,40,54,NA,NA,NA,NA,NA,1,4,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,91.236,91.236,91.236,91.586,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2,88.238,91.236,0,4,4,98,1,180,35,NA,NA,NA,NA,NA,1,5,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,94.586,94.586,94.586,94.936,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.762,91.589,94.586,0,5,5,8,1,10,27,NA,NA,NA,NA,NA,1,6,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,97.936,97.936,97.936,98.286,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.61,94.938,97.936,0,6,6,1,1,7,26,NA,NA,NA,NA,NA,1,7,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,101.286,101.286,101.286,101.636,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7,98.289,101.286,0,7,7,24,1,21,26,NA,NA,NA,NA,NA,1,8,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,104.635,104.635,104.635,104.986,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.411,101.638,104.635,0,8,8,95,1,150,54,NA,NA,NA,NA,NA,1,9,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,107.986,107.986,107.986,108.336,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.76,104.989,107.986,0,9,9,2,1,7,28,NA,NA,NA,NA,NA,1,10,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,111.336,111.336,111.336,111.685,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.716,108.338,111.336,0,10,10,82,1,95,47,NA,NA,NA,NA,NA,1,11,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,114.686,114.686,114.686,115.036,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.632,111.688,114.685,0,11,11,44,1,30,29,NA,NA,NA,NA,NA,1,12,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,118.036,118.036,118.036,118.385,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.776,115.038,118.036,0,12,12,103,1,200,28,NA,NA,NA,NA,NA,1,13,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,121.386,121.386,121.386,121.736,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.754,118.388,121.386,0,13,13,9,1,10,29,NA,NA,NA,NA,NA,1,14,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,124.736,124.736,124.736,125.086,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.052,121.738,124.735,0,14,14,7,1,10,26,NA,NA,NA,NA,NA,1,15,"binary"
"18FB6A772EAC454BB20B1A6B18E9C844",1,"0198f781-27cc-7dcd-9ba7-8fbd39039742","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.19.464",NA,NA,128.086,128.086,128.086,128.436,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.02,125.088,128.085,0,15,15,79,1,95,33,NA,NA,NA,NA,NA,1,16,"binary"
