"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",130.279,133.253,133.254,133.257,133.257,133.603,0,0,0,4,1,30,40,TRUE,2,1.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",133.607,136.603,136.603,136.603,136.603,136.953,0,1,1,0,1,7,30,TRUE,1,1.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",136.956,139.953,139.953,139.953,139.954,140.302,0,2,2,2,1,14,45,TRUE,2,1.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",140.306,143.303,143.303,143.303,143.303,143.652,0,3,3,1,1,100,50,TRUE,2,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",143.655,146.652,146.652,146.652,146.652,147.001,0,4,4,3,1,3,27,TRUE,1,1.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,335.72,335.721,335.721,336.069,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.38,332.737,335.719,0,0,0,56,1,45,31,NA,NA,NA,NA,NA,1,1,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,339.069,339.069,339.069,339.418,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.162,336.072,339.069,0,1,1,92,1,150,35,NA,NA,NA,NA,NA,1,2,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,342.419,342.419,342.419,342.768,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.335,339.421,342.419,0,2,2,81,1,95,40,NA,NA,NA,NA,NA,1,3,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,345.769,345.769,345.769,346.118,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.126,342.772,345.769,0,3,3,107,1,200,54,NA,NA,NA,NA,NA,1,4,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,349.119,349.119,349.119,349.468,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.047,346.121,349.118,0,4,4,40,1,28,39,NA,NA,NA,NA,NA,1,5,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,352.468,352.468,352.468,352.818,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.213,349.471,352.468,0,5,5,9,1,10,29,NA,NA,NA,NA,NA,1,6,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,355.819,355.819,355.819,356.168,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.093,352.821,355.818,0,6,6,46,1,30,32,NA,NA,NA,NA,NA,1,7,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,359.168,359.168,359.168,359.518,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.165,356.172,359.168,0,7,7,63,1,50,40,NA,NA,NA,NA,NA,1,8,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,362.519,362.519,362.519,362.868,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.715,359.521,362.519,0,8,8,2,1,7,28,NA,NA,NA,NA,NA,1,9,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,365.869,365.869,365.869,366.218,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.219,362.871,365.869,0,9,9,27,1,21,30,NA,NA,NA,NA,NA,1,10,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,369.219,369.219,369.219,369.568,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.08,366.222,369.218,0,10,10,82,1,95,47,NA,NA,NA,NA,NA,1,11,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,372.569,372.569,372.569,372.918,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.829,369.572,372.568,0,11,11,47,1,30,38,NA,NA,NA,NA,NA,1,12,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,375.919,375.919,375.919,376.267,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.259,372.921,375.918,0,12,12,68,1,60,35,NA,NA,NA,NA,NA,1,13,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,379.268,379.268,379.268,379.618,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.552,376.271,379.268,0,13,13,89,1,100,54,NA,NA,NA,NA,NA,1,14,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,382.619,382.619,382.619,382.968,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.432,379.621,382.619,0,14,14,60,1,50,27,NA,NA,NA,NA,NA,1,15,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,385.969,385.969,385.969,386.318,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.278,382.972,385.968,0,15,15,70,1,60,47,NA,NA,NA,NA,NA,1,16,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,389.318,389.319,389.319,389.667,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.945,386.321,389.318,0,16,16,53,1,40,54,NA,NA,NA,NA,NA,1,17,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,392.668,392.669,392.669,393.018,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.23,389.67,392.668,0,17,17,61,1,50,30,NA,NA,NA,NA,NA,1,18,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,396.018,396.018,396.018,396.368,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.486,393.021,396.018,0,18,18,59,1,45,46,NA,NA,NA,NA,NA,1,19,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,399.369,399.369,399.369,399.718,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.809,396.371,399.368,0,19,19,48,1,40,27,NA,NA,NA,NA,NA,1,20,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,402.718,402.718,402.718,403.068,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.848,399.721,402.718,0,20,20,90,1,150,31,NA,NA,NA,NA,NA,1,21,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,406.068,406.068,406.069,406.418,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.881,403.071,406.068,0,21,21,37,1,28,28,NA,NA,NA,NA,NA,1,22,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,409.419,409.419,409.419,409.768,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.102,406.421,409.418,0,22,22,71,1,60,54,NA,NA,NA,NA,NA,1,23,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,412.768,412.769,412.769,413.118,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.278,409.771,412.768,0,23,23,94,1,150,47,NA,NA,NA,NA,NA,1,24,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,416.118,416.118,416.118,416.468,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.128,413.121,416.118,0,24,24,38,1,28,32,NA,NA,NA,NA,NA,1,25,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,419.469,419.469,419.469,419.818,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.845,416.471,419.468,0,25,25,55,1,45,29,NA,NA,NA,NA,NA,1,26,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,422.818,422.819,422.819,423.169,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.819,419.822,422.818,0,26,26,26,1,21,29,NA,NA,NA,NA,NA,1,27,"binary"
"2A8E6D1EF21E480CA0183ABA60BA50D1",1,"01990a9b-9efd-7089-98ca-ab391e85414c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.16.424",NA,NA,426.168,426.169,426.169,426.518,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.278,423.172,426.168,0,27,27,65,1,50,54,NA,NA,NA,NA,NA,1,28,"binary"
