"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",93.1264,96.1159,96.1172,96.1362,96.1363,96.4657,0,0,0,4,1,30,40,TRUE,1,1.7744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",96.4684,99.4656,99.4659,99.4661,99.4661,99.8155,0,1,1,1,1,100,50,TRUE,1,1.1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",99.8179,102.8155,102.8158,102.8159,102.8159,103.1656,0,2,2,2,1,14,45,TRUE,1,1.6511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",103.1682,106.1655,106.1656,106.1656,106.1656,106.5155,0,3,3,3,1,3,27,TRUE,1,1.5662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",106.5178,109.5157,109.516,109.7654,109.7655,109.8684,0,4,4,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,149.5494,149.5496,149.5497,149.8989,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3951,146.5577,149.5491,0,0,0,60,1,50,27,NA,NA,NA,NA,NA,1,1,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,152.8989,152.8989,152.8989,153.2487,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5092,149.9011,152.8988,0,1,1,14,1,12,28,NA,NA,NA,NA,NA,1,2,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,156.249,156.249,156.249,156.5986,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3921,153.2508,156.2487,0,2,2,83,1,95,54,NA,NA,NA,NA,NA,1,3,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,159.5988,159.5988,159.5988,159.9487,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2979,156.6,159.5987,0,3,3,31,1,25,29,NA,NA,NA,NA,NA,1,4,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,162.949,162.9491,162.9492,163.2987,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4296,159.9503,162.9489,0,4,4,53,1,40,54,NA,NA,NA,NA,NA,1,5,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,166.299,166.299,166.299,166.6488,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8014,163.2999,166.2988,0,5,5,34,1,25,35,NA,NA,NA,NA,NA,1,6,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,169.6489,169.6489,169.6489,169.9987,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2226,166.6502,169.6488,0,6,6,2,1,7,28,NA,NA,NA,NA,NA,1,7,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,172.999,172.9992,172.9992,173.3488,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.197,170.0001,172.9988,0,7,7,40,1,28,39,NA,NA,NA,NA,NA,1,8,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,176.3489,176.3489,176.349,176.6987,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1075,173.3502,176.3487,0,8,8,11,1,10,32,NA,NA,NA,NA,NA,1,9,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,179.6989,179.699,179.699,180.0488,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1252,176.7007,179.6987,0,9,9,82,1,95,47,NA,NA,NA,NA,NA,1,10,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,183.0488,183.0488,183.0488,183.3987,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.72,180.0508,183.0487,0,10,10,54,1,45,26,NA,NA,NA,NA,NA,1,11,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,186.3989,186.3989,186.399,186.7489,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6712,183.4,186.3988,0,11,11,86,1,100,38,NA,NA,NA,NA,NA,1,12,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,189.7489,189.7489,189.7489,190.0986,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9637,186.7507,189.7488,0,12,12,79,1,95,33,NA,NA,NA,NA,NA,1,13,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,193.0989,193.0989,193.0989,193.4486,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9558,190.1004,193.0988,0,13,13,20,1,14,28,NA,NA,NA,NA,NA,1,14,"binary"
"2E319D06EEE0446A88296D9AF7592FCC",1,"01990a9a-945e-73e1-afbe-ccc83cd3cf42","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h27.11.250",NA,NA,196.4489,196.4489,196.4489,196.7987,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0645,193.4495,196.4488,0,14,14,57,1,45,35,NA,NA,NA,NA,NA,1,15,"binary"
