"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",50.6824,53.6559,53.6564,53.9063,53.9065,54.0065,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",54.0118,57.0062,57.0065,57.0066,57.0066,57.3561,0,1,1,4,1,30,40,TRUE,2,2.9334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",57.3582,60.3556,60.3558,60.3558,60.3559,60.7064,0,2,2,3,1,3,27,TRUE,1,2.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",60.7093,63.7062,63.7065,63.7065,63.7065,64.0556,0,3,3,2,1,14,45,TRUE,2,2.2819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",64.0571,67.0555,67.0556,67.0556,67.0556,67.4056,0,4,4,1,1,100,50,TRUE,1,1.8795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",NA,NA,98.7231,98.7232,98.7233,99.0722,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0953,95.7483,98.7227,0,0,0,11,1,10,32,NA,NA,NA,NA,NA,1,1,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",NA,NA,102.0723,102.0724,102.0724,102.4222,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5986,99.0754,102.0722,0,1,1,44,1,30,29,NA,NA,NA,NA,NA,1,2,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",NA,NA,105.4224,105.4225,105.4225,105.7722,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6926,102.4236,105.4222,0,2,2,27,1,21,30,NA,NA,NA,NA,NA,1,3,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",NA,NA,108.7727,108.7727,108.7727,109.1224,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3567,105.7735,108.7726,0,3,3,58,1,45,40,NA,NA,NA,NA,NA,1,4,"binary"
"33FCE3ABA3FB4238B7C94E6ACED38599",1,"01990adb-cbc1-7084-bee2-c6591f112c2d","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h49.08.755",NA,NA,112.1222,112.1222,112.1222,112.4729,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.7862,109.1243,112.1221,0,4,4,106,1,200,47,NA,NA,NA,NA,NA,1,5,"binary"
