"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",16.0275,18.9981,18.9994,19.0008,19.0009,19.3481,0,0,0,3,1,3,27,TRUE,1,2.6342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",19.3514,22.3471,22.3475,22.3478,22.348,22.6975,0,1,1,1,1,100,50,TRUE,2,1.2119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",22.7017,25.6972,25.6978,25.698,25.6982,26.047,0,2,2,4,1,30,40,TRUE,2,0.6929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",26.0504,29.047,29.0474,29.0477,29.0478,29.3971,0,3,3,2,1,14,45,TRUE,2,0.9258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",29.4024,32.3966,32.3968,32.3968,32.3968,32.7465,0,4,4,0,1,7,30,TRUE,2,0.8835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,47.2967,47.2971,47.2972,47.6455,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0539,44.324,47.2957,0,0,0,38,1,28,32,NA,NA,NA,NA,NA,1,1,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,50.6452,50.6453,50.6453,50.9948,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9811,47.6479,50.645,0,1,1,104,1,200,35,NA,NA,NA,NA,NA,1,2,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,53.9956,53.9958,53.9958,54.3442,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2266,50.999,53.9955,0,2,2,97,1,180,31,NA,NA,NA,NA,NA,1,3,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,57.3449,57.3451,57.3452,57.6948,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9465,54.3462,57.3447,0,3,3,0,1,7,25,NA,NA,NA,NA,NA,1,4,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,60.6949,60.695,60.695,61.0445,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5463,57.6972,60.6947,0,4,4,21,1,14,32,NA,NA,NA,NA,NA,1,5,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,64.0446,64.0448,64.0448,64.3941,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1645,61.0481,64.0442,0,5,5,81,1,95,40,NA,NA,NA,NA,NA,1,6,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,67.3948,67.395,67.3953,67.7431,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.476,64.3972,67.3945,0,6,6,35,1,25,46,NA,NA,NA,NA,NA,1,7,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,70.7445,70.7448,70.7449,71.0941,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1628,67.7438,70.7443,0,7,7,95,1,150,54,NA,NA,NA,NA,NA,1,8,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,74.0952,74.0953,74.0954,74.4441,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5785,71.0964,74.0948,0,8,8,46,1,30,32,NA,NA,NA,NA,NA,1,9,"binary"
"3C62EA6425BE4FD0B43020D786F4BB4B",1,"0198f77e-441e-7977-bbe0-77f91ba5eda9","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h26.24.034",NA,NA,77.4442,77.4443,77.4443,77.7937,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7775,74.447,77.4437,0,9,9,59,1,45,46,NA,NA,NA,NA,NA,1,10,"binary"
