"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",35.3824,38.3578,38.3587,38.3684,38.3685,38.7077,0,0,0,2,1,14,45,TRUE,2,2.1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",38.7108,41.7076,41.7077,41.7078,41.7078,42.0583,0,1,1,4,1,30,40,TRUE,2,0.9798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",42.0595,45.0586,45.0587,45.0588,45.0588,45.4087,0,2,2,0,1,7,30,TRUE,2,2.0666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",45.411,48.4087,48.4089,48.409,48.409,48.7578,0,3,3,1,1,100,50,TRUE,2,0.9684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",48.7595,51.7587,51.7588,51.7588,51.7588,52.1088,0,4,4,3,1,3,27,TRUE,2,1.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",NA,NA,75.6266,75.6269,75.627,75.9752,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0057,72.6493,75.6262,0,0,0,20,1,14,28,NA,NA,NA,NA,NA,1,1,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",NA,NA,78.9761,78.9762,78.9762,79.3261,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.671,75.9771,78.976,0,1,1,89,1,100,54,NA,NA,NA,NA,NA,1,2,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",NA,NA,82.3253,82.3253,82.3254,82.6762,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.704,79.3278,82.3252,0,2,2,48,1,40,27,NA,NA,NA,NA,NA,1,3,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",NA,NA,85.6764,85.6765,85.6765,86.0261,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8209,82.6781,85.6762,0,3,3,105,1,200,39,NA,NA,NA,NA,NA,1,4,"binary"
"44CF20B773F943FAAD0E7129A94AC4E5",1,"0198ecee-4e06-7176-a1ae-ae987e67acfe","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h16.17.191",NA,NA,89.0265,89.0265,89.0266,89.3761,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2065,86.0278,89.0263,0,4,4,27,1,21,30,NA,NA,NA,NA,NA,1,5,"binary"
