"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",48.8789,51.8097,51.8112,52.06,52.0609,52.1602,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",52.1662,55.1603,55.1608,55.4107,55.4109,55.5101,0,1,1,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",55.5154,58.5191,58.5195,58.5199,58.52,58.8671,0,2,2,3,1,3,27,TRUE,1,1.7393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",58.8717,61.853,61.8533,61.8535,61.8536,62.2095,0,3,3,4,1,30,40,TRUE,1,2.7508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",62.2127,65.2104,65.2107,65.2108,65.2109,65.5595,0,4,4,1,1,100,50,TRUE,1,1.7164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,117.4277,117.6777,117.678,117.7775,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,114.4506,117.4271,0,0,0,63,1,50,40,NA,NA,NA,NA,NA,1,1,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,120.7777,120.7778,120.7778,121.1273,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8095,117.7824,120.7773,0,1,1,61,1,50,30,NA,NA,NA,NA,NA,1,2,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,124.1186,124.1187,124.1189,124.4777,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8471,121.1307,124.1183,0,2,2,56,1,45,31,NA,NA,NA,NA,NA,1,3,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,127.4784,127.4785,127.4787,127.8282,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6369,124.4821,127.4777,0,3,3,65,1,50,54,NA,NA,NA,NA,NA,1,4,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,130.8289,130.829,130.829,131.1772,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.566,127.8342,130.8283,0,4,4,72,1,90,26,NA,NA,NA,NA,NA,1,5,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,134.1687,134.169,134.1691,134.5284,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5001,131.1812,134.1685,0,5,5,62,1,50,35,NA,NA,NA,NA,NA,1,6,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,137.5174,137.5174,137.5175,137.8785,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4486,134.5319,137.517,0,6,6,71,1,60,54,NA,NA,NA,NA,NA,1,7,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,140.8872,140.8876,140.8878,141.2201,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8465,137.8821,140.8869,0,7,7,7,1,10,26,NA,NA,NA,NA,NA,1,8,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,144.2377,144.2382,144.2382,144.5818,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4225,141.2235,144.2374,0,8,8,44,1,30,29,NA,NA,NA,NA,NA,1,9,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,147.5676,147.5676,147.5676,147.9269,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4677,144.5843,147.5674,0,9,9,90,1,150,31,NA,NA,NA,NA,NA,1,10,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,150.9268,150.9274,150.9274,151.276,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5168,147.9309,150.9263,0,10,10,82,1,95,47,NA,NA,NA,NA,NA,1,11,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,154.2768,154.2769,154.2769,154.6184,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.469,151.281,154.2761,0,11,11,97,1,180,31,NA,NA,NA,NA,NA,1,12,"binary"
"496DDD06DEFB45479BD534FDF4A48140",1,"0198f77f-a458-7510-9c31-689efbe11796","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.25.377",NA,NA,157.6266,157.6266,157.6266,157.976,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4056,154.6198,157.6263,0,12,12,107,1,200,54,NA,NA,NA,NA,NA,1,13,"binary"
