"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",67.3729,70.3571,70.3575,70.6121,70.6122,70.7089,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",70.7107,73.711,73.7111,73.7111,73.7111,74.0569,0,1,1,4,1,30,40,TRUE,2,1.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",74.0581,77.0592,77.0592,77.0592,77.0592,77.4109,0,2,2,0,1,7,30,TRUE,1,1.4765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",77.4117,80.4072,80.4073,80.4074,80.4074,80.759,0,3,3,3,1,3,27,TRUE,1,1.0921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",80.7599,83.7615,83.7616,83.7616,83.7616,84.1072,0,4,4,2,1,14,45,TRUE,2,0.9005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,117.6496,117.6496,117.6496,118.0006,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2208,114.6637,117.6492,0,0,0,32,1,25,31,NA,NA,NA,NA,NA,1,1,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,121.003,121.003,121.003,121.3487,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.9403,118.0013,121.0029,0,1,1,33,1,25,33,NA,NA,NA,NA,NA,1,2,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,124.351,124.351,124.351,124.7028,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3271,121.3504,124.3509,0,2,2,42,1,30,26,NA,NA,NA,NA,NA,1,3,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,127.6993,127.6993,127.6993,128.0511,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2016,124.7039,127.6992,0,3,3,12,1,12,25,NA,NA,NA,NA,NA,1,4,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,131.0533,131.0533,131.0533,131.399,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.74,128.0519,131.0532,0,4,4,65,1,50,54,NA,NA,NA,NA,NA,1,5,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,134.402,134.402,134.402,134.7532,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2779,131.4002,134.4019,0,5,5,9,1,10,29,NA,NA,NA,NA,NA,1,6,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,137.7496,137.7497,137.7497,138.1015,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6725,134.754,137.7496,0,6,6,51,1,40,40,NA,NA,NA,NA,NA,1,7,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,141.1037,141.1037,141.1037,141.4495,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.374,138.1028,141.1036,0,7,7,98,1,180,35,NA,NA,NA,NA,NA,1,8,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,144.452,144.452,144.452,144.8034,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2473,141.4501,144.4519,0,8,8,85,1,100,31,NA,NA,NA,NA,NA,1,9,"binary"
"4F8701E5339B4A7FBEB1C68BC4DB29A2",1,"0198f781-1c68-7ce1-b6ce-6cb5de3ee107","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h27.07.023",NA,NA,147.7999,147.7999,147.7999,148.1515,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9462,144.804,147.7998,0,9,9,90,1,150,31,NA,NA,NA,NA,NA,1,10,"binary"
