"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",18.8513,21.8092,21.8108,21.8229,21.8231,22.1617,0,0,0,2,1,14,45,TRUE,2,1.7889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",22.1666,25.1608,25.161,25.161,25.161,25.5115,0,1,1,4,1,30,40,TRUE,2,1.7954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",25.5171,28.5088,28.509,28.509,28.5091,28.8602,0,2,2,0,1,7,30,TRUE,2,2.0999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",28.8674,31.8591,31.8593,31.8594,31.8594,32.209,0,3,3,3,1,3,27,TRUE,1,0.9252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",32.2158,35.2086,35.2088,35.2088,35.2089,35.5594,0,4,4,1,1,100,50,TRUE,1,1.5444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,62.727,62.7276,62.7278,63.0717,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1364,59.7598,62.7263,0,0,0,54,1,45,26,NA,NA,NA,NA,NA,1,1,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,66.0761,66.0761,66.0763,66.4256,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9181,63.0779,66.076,0,1,1,105,1,200,39,NA,NA,NA,NA,NA,1,2,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,69.4255,69.4256,69.4256,69.7747,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7766,66.4326,69.425,0,2,2,55,1,45,29,NA,NA,NA,NA,NA,1,3,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,72.775,72.7751,72.7751,73.1248,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7441,69.7821,72.7745,0,3,3,94,1,150,47,NA,NA,NA,NA,NA,1,4,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,76.1287,76.1287,76.1288,76.4748,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1749,73.1329,76.1284,0,4,4,18,1,14,25,NA,NA,NA,NA,NA,1,5,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,79.4804,79.4805,79.4805,79.8259,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8962,76.4798,79.4796,0,5,5,89,1,100,54,NA,NA,NA,NA,NA,1,6,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,82.8279,82.8281,82.8281,83.1759,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7591,79.8294,82.8274,0,6,6,99,1,180,39,NA,NA,NA,NA,NA,1,7,"binary"
"58DE05E999F346AEBEBC368880619A05",1,"01990a9b-7043-726d-bb5f-8e63996d87d1","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h26.50.393",NA,NA,86.1773,86.1776,86.1777,86.525,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7749,83.1827,86.1772,0,7,7,100,1,180,46,NA,NA,NA,NA,NA,1,8,"binary"
