"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",150.8815,153.86,153.8614,153.8681,153.8683,154.2089,0,0,0,3,1,3,27,TRUE,1,2.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",154.2125,157.2097,157.2099,157.21,157.21,157.5596,0,1,1,1,1,100,50,TRUE,1,2.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",157.562,160.5596,160.5597,160.5598,160.5599,160.9096,0,2,2,4,1,30,40,TRUE,2,2.7045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",160.9121,163.9095,163.9098,163.9099,163.9099,164.2584,0,3,3,2,1,14,45,TRUE,2,2.2539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",164.26,167.2587,167.2588,167.259,167.259,167.6095,0,4,4,0,1,7,30,TRUE,1,2.1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",NA,NA,229.7761,229.7765,229.7766,230.1255,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6905,226.8018,229.7756,0,0,0,59,1,45,46,NA,NA,NA,NA,NA,1,1,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",NA,NA,233.1254,233.1255,233.1255,233.4751,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.236,230.1279,233.1251,0,1,1,69,1,60,40,NA,NA,NA,NA,NA,1,2,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",NA,NA,236.4754,236.4755,236.4755,236.8252,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1224,233.477,236.4752,0,2,2,56,1,45,31,NA,NA,NA,NA,NA,1,3,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",NA,NA,239.8244,239.8244,239.8244,240.175,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7872,236.8279,239.8243,0,3,3,99,1,180,39,NA,NA,NA,NA,NA,1,4,"binary"
"5AADF83B390246E2AABDFD4E90713B2B",1,"01990a9c-0cde-780e-8dcf-e298c8dcfaf5","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h27.23.981",NA,NA,243.1752,243.1755,243.1755,243.525,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3886,240.1769,243.175,0,4,4,102,1,200,26,NA,NA,NA,NA,NA,1,5,"binary"
