"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",43.6069,46.6027,46.603,46.8251,46.8252,46.8968,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",46.8979,49.8973,49.8974,49.8974,49.8974,50.2586,0,1,1,3,1,3,27,TRUE,1,2.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",50.2595,53.2777,53.2777,53.2778,53.2778,53.6378,0,2,2,0,1,7,30,TRUE,1,1.8178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",53.6388,56.5937,56.5937,56.5938,56.5938,56.9635,0,3,3,4,1,30,40,TRUE,1,1.7591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",56.9644,59.9356,59.9357,59.9358,59.9358,60.3085,0,4,4,2,1,14,45,TRUE,2,2.0519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,183.5456,183.5457,183.5458,183.9363,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4749,180.6218,183.5454,0,0,0,1,1,7,26,NA,NA,NA,NA,NA,1,1,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,186.9183,186.9183,186.9183,187.3149,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2171,183.9384,186.9183,0,1,1,55,1,45,29,NA,NA,NA,NA,NA,1,2,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,190.2717,190.2718,190.2718,190.5908,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.148,187.3158,190.2717,0,2,2,6,1,10,25,NA,NA,NA,NA,NA,1,3,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,193.6229,193.6229,193.6229,193.9388,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4935,190.5919,193.6227,0,3,3,29,1,21,38,NA,NA,NA,NA,NA,1,4,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,196.9797,196.9797,196.9797,197.2963,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6621,193.94,196.9796,0,4,4,21,1,14,32,NA,NA,NA,NA,NA,1,5,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,200.3348,200.3349,200.3349,200.6452,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2935,197.2971,200.3348,0,5,5,27,1,21,30,NA,NA,NA,NA,NA,1,6,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,203.6921,203.6921,203.6922,204.0166,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7416,200.646,203.692,0,6,6,22,1,14,35,NA,NA,NA,NA,NA,1,7,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,207.0183,207.0183,207.0183,207.41,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5622,204.0174,207.0182,0,7,7,13,1,12,26,NA,NA,NA,NA,NA,1,8,"binary"
"5BEA0D28B2504B58AF4CA418A3D38773",1,"0198f780-7db8-7e68-8698-ec7d0ad74d7e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h24.29.843",NA,NA,210.3468,210.3468,210.3468,210.7524,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7967,207.4109,210.3467,0,8,8,76,1,90,46,NA,NA,NA,NA,NA,1,9,"binary"
