"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",68.0544,71.0372,71.0377,71.0474,71.0476,71.3872,0,0,0,3,1,3,27,TRUE,1,1.6833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",71.3889,74.3872,74.3874,74.3874,74.3874,74.7371,0,1,1,0,1,7,30,TRUE,1,1.2639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",74.7387,77.7372,77.7374,77.7375,77.7375,78.0872,0,2,2,2,1,14,45,TRUE,1,2.5299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",78.0883,81.0872,81.0873,81.0873,81.0873,81.4371,0,3,3,1,1,100,50,TRUE,1,1.4968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",81.4386,84.4371,84.4372,84.4374,84.4374,84.7871,0,4,4,4,1,30,40,TRUE,1,2.7636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,113.3544,113.3545,113.3547,113.7042,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4176,110.3717,113.3541,0,0,0,84,1,100,26,NA,NA,NA,NA,NA,1,1,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,116.7041,116.7041,116.7041,117.0542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3975,113.7056,116.704,0,1,1,44,1,30,29,NA,NA,NA,NA,NA,1,2,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,120.0541,120.0542,120.0542,120.404,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2829,117.0554,120.054,0,2,2,23,1,14,39,NA,NA,NA,NA,NA,1,3,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,123.4041,123.4042,123.4042,123.754,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1298,120.4049,123.404,0,3,3,88,1,100,46,NA,NA,NA,NA,NA,1,4,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,126.7542,126.7542,126.7543,127.1041,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8301,123.7551,126.7541,0,4,4,92,1,150,35,NA,NA,NA,NA,NA,1,5,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,130.1043,130.1043,130.1043,130.4542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6887,127.105,130.1041,0,5,5,89,1,100,54,NA,NA,NA,NA,NA,1,6,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,133.4543,133.4544,133.4544,133.8042,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2966,130.4553,133.4542,0,6,6,105,1,200,39,NA,NA,NA,NA,NA,1,7,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,136.8042,137.0542,137.0542,137.1541,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,133.8054,136.8041,0,7,7,74,1,90,33,NA,NA,NA,NA,NA,1,8,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,140.1542,140.1542,140.1542,140.5041,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9339,137.1552,140.1541,0,8,8,11,1,10,32,NA,NA,NA,NA,NA,1,9,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,143.5042,143.5042,143.5042,143.8542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5636,140.5051,143.5042,0,9,9,53,1,40,54,NA,NA,NA,NA,NA,1,10,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,146.8546,146.8546,146.8546,147.2042,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4043,143.8555,146.8544,0,10,10,40,1,28,39,NA,NA,NA,NA,NA,1,11,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,150.2043,150.2043,150.2043,150.5542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6138,147.2052,150.2042,0,11,11,100,1,180,46,NA,NA,NA,NA,NA,1,12,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,153.5544,153.5545,153.5545,153.9042,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5302,150.5553,153.5543,0,12,12,68,1,60,35,NA,NA,NA,NA,NA,1,13,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,156.9044,156.9044,156.9044,157.2542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3303,153.9051,156.9042,0,13,13,10,1,10,30,NA,NA,NA,NA,NA,1,14,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,160.2544,160.2544,160.2544,160.6042,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9646,157.2551,160.2543,0,14,14,56,1,45,31,NA,NA,NA,NA,NA,1,15,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,163.6044,163.6045,163.6045,163.9542,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9304,160.6053,163.6043,0,15,15,104,1,200,35,NA,NA,NA,NA,NA,1,16,"binary"
"61FFB453863242FDA4ED125D8E818F3C",1,"01990a9b-8859-78ac-a470-6b46454d8de8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.55.190",NA,NA,166.9544,166.9545,166.9545,167.3043,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5482,163.9552,166.9543,0,16,16,98,1,180,35,NA,NA,NA,NA,NA,1,17,"binary"
