"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",203.305,206.2833,206.284,206.2985,206.2986,206.6337,0,0,0,0,1,7,30,TRUE,1,1.9844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",206.636,209.6201,209.6208,209.6209,209.6209,209.9702,0,1,1,2,1,14,45,TRUE,2,2.6346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",209.9731,212.9734,212.9736,212.9737,212.9737,213.3241,0,2,2,1,1,100,50,TRUE,1,1.5504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",213.3263,216.3268,216.327,216.3271,216.3271,216.6771,0,3,3,4,1,30,40,TRUE,1,1.4164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",216.6789,219.6803,219.6804,219.6806,219.6806,220.0309,0,4,4,3,1,3,27,TRUE,1,1.4016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",NA,NA,246.577,246.5773,246.5773,246.9261,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7106,243.59,246.5764,0,0,0,87,1,100,39,NA,NA,NA,NA,NA,1,1,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",NA,NA,249.9118,249.9118,249.9118,250.2619,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0041,246.9285,249.9116,0,1,1,79,1,95,33,NA,NA,NA,NA,NA,1,2,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",NA,NA,253.2651,253.2651,253.2651,253.6156,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4066,250.2636,253.265,0,2,2,21,1,14,32,NA,NA,NA,NA,NA,1,3,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",NA,NA,256.6191,256.8693,256.8693,256.9693,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,253.6184,256.6187,0,3,3,36,1,28,26,NA,NA,NA,NA,NA,1,4,"binary"
"6C2F6152D39B4D5CBFF0A1F81394A800",1,"01990a9c-9062-7a52-9110-ea834f29a853","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h28.43.530",NA,NA,259.973,259.9733,259.9733,260.3222,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5602,256.9722,259.9722,0,4,4,75,1,90,40,NA,NA,NA,NA,NA,1,5,"binary"
