"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",45.5836,48.5223,48.5234,48.5239,48.524,48.8813,0,0,0,3,1,3,27,TRUE,1,2.3806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",48.8846,51.895,51.8955,51.9098,51.9098,52.2282,0,1,1,0,1,7,30,TRUE,1,1.4279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",52.2331,55.2271,55.2277,55.2278,55.2278,55.5835,0,2,2,2,1,14,45,TRUE,2,2.9059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",55.5866,58.5897,58.5903,58.8358,58.8359,58.9383,0,3,3,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",58.9413,61.9191,61.9196,61.9196,61.9197,62.2748,0,4,4,1,1,100,50,TRUE,2,1.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",NA,NA,88.5912,88.5916,88.5917,88.952,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3761,85.6374,88.5902,0,0,0,52,1,40,47,NA,NA,NA,NA,NA,1,1,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",NA,NA,91.9266,91.9266,91.9266,92.2942,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.210299999,88.9559,91.926,0,1,1,76,1,90,46,NA,NA,NA,NA,NA,1,2,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",NA,NA,95.2876,95.2877,95.2877,95.6691,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3976,92.2972,95.2871,0,2,2,87,1,100,39,NA,NA,NA,NA,NA,1,3,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",NA,NA,98.6698,98.6699,98.6699,98.9969,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.54,95.672,98.6692,0,3,3,83,1,95,54,NA,NA,NA,NA,NA,1,4,"binary"
"78A3DC02B28A4FC08B54935A39CEA689",1,"0198f77c-3963-776b-878f-30e97a46e5eb","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_13h20.23.651",NA,NA,102.0116,102.0117,102.0117,102.354,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.620800001,98.9994,102.0109,0,4,4,78,1,95,31,NA,NA,NA,NA,NA,1,5,"binary"
