"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",67.657,70.6454,70.6458,70.6463,70.6463,70.9953,0,0,0,2,1,14,45,TRUE,2,2.3046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",70.9961,73.9954,73.9956,74.2455,74.2456,74.3455,0,1,1,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",74.3474,77.3453,77.3455,77.3455,77.3455,77.6952,0,2,2,0,1,7,30,TRUE,2,1.6101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",77.696,80.6953,80.6954,80.6954,80.6954,81.0452,0,3,3,3,1,3,27,TRUE,2,2.3148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",81.0462,84.0451,84.0452,84.0452,84.0452,84.3951,0,4,4,1,1,100,50,TRUE,1,2.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",NA,NA,125.0455,125.0457,125.0459,125.3948,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1884,122.0566,125.045,0,0,0,5,1,7,35,NA,NA,NA,NA,NA,1,1,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",NA,NA,128.3948,128.3948,128.3948,128.7446,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.23,125.3973,128.3947,0,1,1,26,1,21,29,NA,NA,NA,NA,NA,1,2,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",NA,NA,131.7448,131.7449,131.7449,132.0944,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3762,128.7466,131.7446,0,2,2,45,1,30,30,NA,NA,NA,NA,NA,1,3,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",NA,NA,135.0946,135.0947,135.0947,135.4444,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1329,132.096,135.0945,0,3,3,87,1,100,39,NA,NA,NA,NA,NA,1,4,"binary"
"7AC8373AD14E4BD593197CAD7D85C323",1,"0198ecee-4bfa-7820-9385-39fbc1dc09ca","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_14h08.48.693",NA,NA,138.4446,138.4446,138.4446,138.7945,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2539,135.4466,138.4445,0,4,4,3,1,7,30,NA,NA,NA,NA,NA,1,5,"binary"
