"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",23.2452,26.234,26.2347,26.2357,26.2358,26.5836,0,0,0,4,1,30,40,TRUE,1,1.0919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",26.5862,29.5831,29.5832,29.5834,29.5834,29.9328,0,1,1,0,1,7,30,TRUE,1,1.1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",29.9348,32.9327,32.9327,32.9327,32.9327,33.2826,0,2,2,3,1,3,27,TRUE,1,1.2148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",33.2848,36.2823,36.2825,36.2825,36.2825,36.6323,0,3,3,1,1,100,50,TRUE,1,2.1708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",36.6345,39.6315,39.6316,39.6316,39.6316,39.9814,0,4,4,2,1,14,45,TRUE,1,1.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,55.4472,55.4477,55.4478,55.7962,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0546,52.459,55.4468,0,0,0,65,1,50,54,NA,NA,NA,NA,NA,1,1,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,58.7965,58.7967,58.7967,59.1464,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.885,55.7972,58.7962,0,1,1,28,1,21,32,NA,NA,NA,NA,NA,1,2,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,62.1456,62.1456,62.1456,62.4957,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9161,59.1484,62.1455,0,2,2,46,1,30,32,NA,NA,NA,NA,NA,1,3,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,65.4956,65.4958,65.4958,65.8453,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7313,62.4972,65.4954,0,3,3,52,1,40,47,NA,NA,NA,NA,NA,1,4,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,68.8454,68.8454,68.8454,69.1947,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0114,65.8481,68.8451,0,4,4,92,1,150,35,NA,NA,NA,NA,NA,1,5,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,72.1948,72.1949,72.1949,72.5445,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6874,69.196,72.1946,0,5,5,75,1,90,40,NA,NA,NA,NA,NA,1,6,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,75.5445,75.5447,75.5447,75.8941,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9402,72.5473,75.5441,0,6,6,100,1,180,46,NA,NA,NA,NA,NA,1,7,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,78.894,78.8942,78.8943,79.2433,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7002,75.8967,78.8937,0,7,7,35,1,25,46,NA,NA,NA,NA,NA,1,8,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,82.2437,82.2438,82.2438,82.5935,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6949,79.2442,82.2433,0,8,8,104,1,200,35,NA,NA,NA,NA,NA,1,9,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,85.5933,85.5933,85.5934,85.9429,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7761,82.5961,85.593,0,9,9,89,1,100,54,NA,NA,NA,NA,NA,1,10,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,88.9429,88.9429,88.9429,89.2923,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8185,85.9456,88.9426,0,10,10,48,1,40,27,NA,NA,NA,NA,NA,1,11,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,92.2921,92.2922,92.2922,92.6419,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8048,89.2949,92.292,0,11,11,30,1,25,27,NA,NA,NA,NA,NA,1,12,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,95.6418,95.6419,95.6419,95.9917,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6876,92.6441,95.6417,0,12,12,24,1,21,26,NA,NA,NA,NA,NA,1,13,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,98.9916,98.9916,98.9916,99.3412,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.907,95.994,98.9912,0,13,13,82,1,95,47,NA,NA,NA,NA,NA,1,14,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,102.3411,102.3413,102.3413,102.6907,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5553,99.3436,102.3409,0,14,14,17,1,12,35,NA,NA,NA,NA,NA,1,15,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,105.6909,105.6911,105.6911,106.0405,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7901,102.6934,105.6907,0,15,15,21,1,14,32,NA,NA,NA,NA,NA,1,16,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,109.0402,109.0402,109.0402,109.3896,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6515,106.0437,109.0399,0,16,16,93,1,150,40,NA,NA,NA,NA,NA,1,17,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,112.3901,112.3901,112.3902,112.7395,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6204,109.3904,112.39,0,17,17,18,1,14,25,NA,NA,NA,NA,NA,1,18,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,115.7388,115.7389,115.7389,116.0892,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7514,112.7418,115.7387,0,18,18,61,1,50,30,NA,NA,NA,NA,NA,1,19,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,119.0889,119.0889,119.089,119.4387,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6721,116.0917,119.0887,0,19,19,51,1,40,40,NA,NA,NA,NA,NA,1,20,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,122.4382,122.4383,122.4383,122.7885,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6349,119.4407,122.4381,0,20,20,14,1,12,28,NA,NA,NA,NA,NA,1,21,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,125.7883,125.7884,125.7884,126.1379,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7489,122.7907,125.7881,0,21,21,41,1,28,46,NA,NA,NA,NA,NA,1,22,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,129.1378,129.1379,129.1379,129.4876,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6562,126.1402,129.1377,0,22,22,55,1,45,29,NA,NA,NA,NA,NA,1,23,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,132.4873,132.4873,132.4873,132.837,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6028,129.4898,132.4871,0,23,23,80,1,95,35,NA,NA,NA,NA,NA,1,24,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,135.837,135.837,135.8371,136.1868,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5328,132.8394,135.8368,0,24,24,69,1,60,40,NA,NA,NA,NA,NA,1,25,"binary"
"8784FE690A76442085157931DB41E1FD",1,"01990a99-b9b5-7cb1-89fb-620b3453727b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h24.45.574",NA,NA,139.1865,139.1865,139.1865,139.5362,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5842,136.1894,139.1864,0,25,25,37,1,28,28,NA,NA,NA,NA,NA,1,26,"binary"
