"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",29.7336,32.7226,32.7233,32.7412,32.7412,33.0721,0,0,0,2,1,14,45,TRUE,2,1.8508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",33.0745,36.072,36.0723,36.0724,36.0724,36.4218,0,1,1,1,1,100,50,TRUE,2,1.1504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",36.4239,39.4216,39.4219,39.422,39.422,39.7725,0,2,2,0,1,7,30,TRUE,2,2.9044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",39.7748,42.7717,42.7719,42.7719,42.7719,43.1223,0,3,3,4,1,30,40,TRUE,2,1.5703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",43.1248,46.122,46.1225,46.1226,46.1226,46.4713,0,4,4,3,1,3,27,TRUE,2,1.7688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",NA,NA,67.9215,67.9217,67.9217,68.2716,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.9787,64.9319,67.9214,0,0,0,55,1,45,29,NA,NA,NA,NA,NA,1,1,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",NA,NA,71.2714,71.2715,71.2715,71.6212,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7803,68.2727,71.2714,0,1,1,10,1,10,30,NA,NA,NA,NA,NA,1,2,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",NA,NA,74.6214,74.6214,74.6214,74.9712,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7339,71.6222,74.6213,0,2,2,59,1,45,46,NA,NA,NA,NA,NA,1,3,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",NA,NA,77.9725,77.9725,77.9725,78.3214,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.417,74.9723,77.9724,0,3,3,28,1,21,32,NA,NA,NA,NA,NA,1,4,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",NA,NA,81.3216,81.3217,81.3217,81.6714,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.3696,78.3233,81.3215,0,4,4,104,1,200,35,NA,NA,NA,NA,NA,1,5,"binary"
"8C9FE60E2714498B80B48606915608E2",1,"01990aa2-d7d2-7332-a269-39bac79299f0","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h34.45.444",NA,NA,84.6716,84.6717,84.6717,85.0224,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.258,81.6724,84.6715,0,5,5,45,1,30,30,NA,NA,NA,NA,NA,1,6,"binary"
