"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",28.8536,31.8434,31.8438,31.8645,31.8645,32.1933,0,0,0,1,1,100,50,TRUE,2,2.7326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",32.1944,35.1932,35.1933,35.1933,35.1933,35.5431,0,1,1,3,1,3,27,TRUE,1,1.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",35.5443,38.5431,38.5433,38.5433,38.5433,38.8931,0,2,2,2,1,14,45,TRUE,2,1.5409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",38.8941,41.893,41.8931,41.8932,41.8932,42.2431,0,3,3,4,1,30,40,TRUE,2,1.2944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",42.244,45.2427,45.2429,45.2429,45.2429,45.593,0,4,4,0,1,7,30,TRUE,1,1.7325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",NA,NA,69.5931,69.5932,69.5932,69.9428,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0855,66.6034,69.5929,0,0,0,105,1,200,39,NA,NA,NA,NA,NA,1,1,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",NA,NA,72.9428,72.9428,72.9428,73.2925,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.4131,69.9437,72.9427,0,1,1,107,1,200,54,NA,NA,NA,NA,NA,1,2,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",NA,NA,76.2926,76.2926,76.2926,76.6426,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.758,73.2934,76.2924,0,2,2,53,1,40,54,NA,NA,NA,NA,NA,1,3,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",NA,NA,79.6425,79.6425,79.6426,79.9927,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4549,76.6434,79.6424,0,3,3,57,1,45,35,NA,NA,NA,NA,NA,1,4,"binary"
"8CBB43D492D14E8C89B8CEB4451F67D9",1,"01990a98-dd8d-7c15-baea-d1471ca47527","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h23.48.750",NA,NA,82.9927,82.9927,82.9927,83.3424,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.009,79.9937,82.9926,0,4,4,35,1,25,46,NA,NA,NA,NA,NA,1,5,"binary"
