"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",467.254,470.0876,470.0884,470.0886,470.0887,470.5089,0,0,0,2,1,14,45,TRUE,1,1.3265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",470.5136,473.6176,473.6178,473.6204,473.6204,474.0597,0,1,1,1,1,100,50,TRUE,1,1.5413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",474.0629,477.0168,477.017,477.017,477.017,477.2206,0,2,2,0,1,7,30,TRUE,1,2.7346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",477.2222,480.3319,480.3321,480.5411,480.5412,480.5413,0,3,3,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",480.5425,483.5807,483.5809,483.5809,483.5809,483.9969,0,4,4,4,1,30,40,TRUE,1,0.2291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,572.7627,572.7629,572.763,572.9583,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,569.7143,572.7624,0,0,0,61,1,50,30,NA,NA,NA,NA,NA,1,1,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,576.1349,576.1349,576.1349,576.3341,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5421,572.9593,576.1347,0,1,1,28,1,21,32,NA,NA,NA,NA,NA,1,2,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,579.0957,579.0957,579.0957,579.7354,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0716,576.3353,579.0954,0,2,2,84,1,100,26,NA,NA,NA,NA,NA,1,3,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,582.5609,582.5609,582.5609,582.9601,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8595,579.7364,582.5607,0,3,3,54,1,45,26,NA,NA,NA,NA,NA,1,4,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,586.137,586.1371,586.1371,586.3329,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.634,582.9615,586.1368,0,4,4,41,1,28,46,NA,NA,NA,NA,NA,1,5,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,589.3393,589.3393,589.3393,589.7639,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6656,586.334,589.3391,0,5,5,60,1,50,27,NA,NA,NA,NA,NA,1,6,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,592.5631,592.5631,592.5631,593.0099,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0769,589.7649,592.5629,0,6,6,56,1,45,31,NA,NA,NA,NA,NA,1,7,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,595.8188,595.8189,595.8189,596.4517,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0836,593.011,595.8187,0,7,7,101,1,180,54,NA,NA,NA,NA,NA,1,8,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,599.4006,599.4006,599.4006,599.8167,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9046,596.453,599.4003,0,8,8,36,1,28,26,NA,NA,NA,NA,NA,1,9,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,602.7829,602.7829,602.7829,603.1939,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4495,599.8176,602.7827,0,9,9,68,1,60,35,NA,NA,NA,NA,NA,1,10,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,606.2614,606.2614,606.2614,606.4683,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3318,603.1952,606.2612,0,10,10,59,1,45,46,NA,NA,NA,NA,NA,1,11,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,609.2784,609.2784,609.2784,609.8925,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1161,606.4694,609.2783,0,11,11,80,1,95,35,NA,NA,NA,NA,NA,1,12,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,612.7702,612.7702,612.7702,613.1904,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1107,609.8937,612.77,0,12,12,23,1,14,39,NA,NA,NA,NA,NA,1,13,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,615.8975,615.8977,615.8977,616.5872,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1431,613.2192,615.8973,0,13,13,1,1,7,26,NA,NA,NA,NA,NA,1,14,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,619.5874,619.5874,619.5874,619.9952,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3207,616.5883,619.5872,0,14,14,32,1,25,31,NA,NA,NA,NA,NA,1,15,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,622.7867,622.7867,622.7867,623.1835,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0802,619.9963,622.7865,0,15,15,44,1,30,29,NA,NA,NA,NA,NA,1,16,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,625.9963,625.9963,625.9963,626.6436,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5276,623.1845,625.9959,0,16,16,0,1,7,25,NA,NA,NA,NA,NA,1,17,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,629.5388,629.5388,629.5388,629.9474,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.389,626.6447,629.5386,0,17,17,103,1,200,28,NA,NA,NA,NA,NA,1,18,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,632.9434,632.9435,632.9435,633.3443,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0895,629.9485,632.9433,0,18,18,34,1,25,35,NA,NA,NA,NA,NA,1,19,"binary"
"9CD9B3EA2DEF409E80ADEEDC53C4839A",1,"01990a9d-7588-7fef-9a02-777c74da3e46","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h33.06.805",NA,NA,636.3459,636.346,636.346,636.7582,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2815,633.3456,636.3458,0,19,19,21,1,14,32,NA,NA,NA,NA,NA,1,20,"binary"
