"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",22.0774,25.0581,25.0588,25.0655,25.0656,25.4073,0,0,0,0,1,7,30,TRUE,1,2.0095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",25.4103,28.408,28.4082,28.4083,28.4083,28.758,0,1,1,2,1,14,45,TRUE,1,2.2227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",28.7604,31.758,31.7583,31.7584,31.7584,32.1079,0,2,2,1,1,100,50,TRUE,1,1.0775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",32.111,35.1081,35.1083,35.1083,35.1083,35.4575,0,3,3,4,1,30,40,TRUE,1,1.2896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",35.4599,38.4581,38.4582,38.4583,38.4583,38.808,0,4,4,3,1,3,27,TRUE,2,1.6475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,60.9759,60.9763,60.9764,61.3253,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7864,57.999,60.9754,0,0,0,73,1,90,30,NA,NA,NA,NA,NA,1,1,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,64.3253,64.3253,64.3253,64.675,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4229,61.3276,64.3251,0,1,1,67,1,60,33,NA,NA,NA,NA,NA,1,2,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,67.6753,67.6754,67.6754,68.0251,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0557,64.6772,67.6751,0,2,2,38,1,28,32,NA,NA,NA,NA,NA,1,3,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,71.0253,71.0254,71.0254,71.375,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9399,68.027,71.0252,0,3,3,95,1,150,54,NA,NA,NA,NA,NA,1,4,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,74.3754,74.3755,74.3755,74.7248,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8753,71.3765,74.3753,0,4,4,91,1,150,33,NA,NA,NA,NA,NA,1,5,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,77.7253,77.7253,77.7254,78.0752,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3472,74.7256,77.7251,0,5,5,16,1,12,33,NA,NA,NA,NA,NA,1,6,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,81.0756,81.0758,81.0758,81.4253,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9249,78.0767,81.0755,0,6,6,78,1,95,31,NA,NA,NA,NA,NA,1,7,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,84.4255,84.4257,84.4257,84.7753,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5654,81.4276,84.4254,0,7,7,12,1,12,25,NA,NA,NA,NA,NA,1,8,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,87.7756,87.7757,87.7757,88.1252,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1059,84.7774,87.7753,0,8,8,98,1,180,35,NA,NA,NA,NA,NA,1,9,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,91.1257,91.1258,91.1259,91.4754,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1725,88.1271,91.1255,0,9,9,82,1,95,47,NA,NA,NA,NA,NA,1,10,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,94.4756,94.4757,94.4757,94.8251,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9743,91.4772,94.4754,0,10,10,66,1,60,29,NA,NA,NA,NA,NA,1,11,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,97.8256,97.8258,97.8258,98.1755,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8731,94.8272,97.8254,0,11,11,72,1,90,26,NA,NA,NA,NA,NA,1,12,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,101.1757,101.1758,101.1758,101.5255,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9077,98.1777,101.1755,0,12,12,104,1,200,35,NA,NA,NA,NA,NA,1,13,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,104.5256,104.5256,104.5256,104.8755,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.74,101.5279,104.5255,0,13,13,2,1,7,28,NA,NA,NA,NA,NA,1,14,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,107.8759,107.876,107.876,108.2256,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7375,104.8781,107.8757,0,14,14,43,1,30,27,NA,NA,NA,NA,NA,1,15,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,111.2259,111.226,111.226,111.5754,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.875,108.2275,111.2257,0,15,15,106,1,200,47,NA,NA,NA,NA,NA,1,16,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,114.5761,114.5762,114.5762,114.9258,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8342,111.577,114.5759,0,16,16,29,1,21,38,NA,NA,NA,NA,NA,1,17,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,117.926,117.9261,117.9262,118.2757,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7515,114.9278,117.9259,0,17,17,68,1,60,35,NA,NA,NA,NA,NA,1,18,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,121.276,121.276,121.276,121.6258,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5737,118.2776,121.2758,0,18,18,75,1,90,40,NA,NA,NA,NA,NA,1,19,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,124.6261,124.6261,124.6262,124.9759,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6513,121.6279,124.626,0,19,19,84,1,100,26,NA,NA,NA,NA,NA,1,20,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,127.9759,127.976,127.976,128.3259,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.655,124.9779,127.9758,0,20,20,80,1,95,35,NA,NA,NA,NA,NA,1,21,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,131.3262,131.3262,131.3262,131.6759,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6499,128.3282,131.326,0,21,21,69,1,60,40,NA,NA,NA,NA,NA,1,22,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,134.6762,134.6762,134.6762,135.0259,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6733,131.6778,134.676,0,22,22,10,1,10,30,NA,NA,NA,NA,NA,1,23,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,138.0262,138.0263,138.0263,138.376,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6732,135.0282,138.026,0,23,23,77,1,90,54,NA,NA,NA,NA,NA,1,24,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,141.3763,141.3763,141.3763,141.7255,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6166,138.3782,141.3761,0,24,24,17,1,12,35,NA,NA,NA,NA,NA,1,25,"binary"
"A0337664A0C54108AD87471FDEEF9189",1,"01990a97-a8e5-7ac5-86cf-c8945307b7c4","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h22.48.781",NA,NA,144.7263,144.7263,144.7264,145.0761,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5533,141.7277,144.7261,0,25,25,13,1,12,26,NA,NA,NA,NA,NA,1,26,"binary"
