"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",31.2544,34.2458,34.2461,34.4869,34.4869,34.5629,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",34.564,37.5773,37.5774,37.5774,37.5774,37.9342,0,1,1,0,1,7,30,TRUE,1,1.5799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",37.9354,40.9048,40.905,40.905,40.905,41.2547,0,2,2,4,1,30,40,TRUE,1,0.8335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",41.2556,44.2562,44.2563,44.2564,44.2564,44.646,0,3,3,2,1,14,45,TRUE,1,0.5748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",44.6471,47.645,47.6451,47.6451,47.6451,47.9652,0,4,4,3,1,3,27,TRUE,1,0.7036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,108.3412,108.3412,108.3412,108.6967,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3667,105.3528,108.341,0,0,0,57,1,45,35,NA,NA,NA,NA,NA,1,1,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,111.6563,111.6563,111.6564,112.0515,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5792,108.6975,111.6562,0,1,1,90,1,150,31,NA,NA,NA,NA,NA,1,2,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,115.0288,115.0288,115.0288,115.3611,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5015,112.0524,115.0283,0,2,2,38,1,28,32,NA,NA,NA,NA,NA,1,3,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,118.3743,118.3743,118.3743,118.7345,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4586,115.3624,118.3742,0,3,3,84,1,100,26,NA,NA,NA,NA,NA,1,4,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,121.7195,121.7195,121.7195,122.0835,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4271,118.7353,121.7194,0,4,4,28,1,21,32,NA,NA,NA,NA,NA,1,5,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,125.089,125.089,125.089,125.4301,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.3739,122.0843,125.0889,0,5,5,69,1,60,40,NA,NA,NA,NA,NA,1,6,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,128.4332,128.4333,128.4333,128.7605,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.2962,125.4312,128.4331,0,6,6,26,1,21,29,NA,NA,NA,NA,NA,1,7,"binary"
"B27D12A0E5074BA0B636F5FF79F39784",1,"0198ecee-550e-7a19-b0b4-5162145396d3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.53.739",NA,NA,131.7848,131.7848,131.7848,132.1133,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.3768,128.7612,131.7847,0,7,7,17,1,12,35,NA,NA,NA,NA,NA,1,8,"binary"
