"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",111.2791,114.2317,114.2335,114.2342,114.2344,114.5811,0,0,0,0,1,7,30,TRUE,2,1.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",114.587,117.5778,117.5781,117.5782,117.5782,117.9274,0,1,1,4,1,30,40,TRUE,2,1.6643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",117.9313,120.9239,120.9242,120.9243,120.9244,121.2734,0,2,2,2,1,14,45,TRUE,2,1.6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",121.2751,124.2879,124.2883,124.302,124.302,124.6367,0,3,3,3,1,3,27,TRUE,2,2.1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",124.6385,127.6349,127.6351,127.6353,127.6354,127.9842,0,4,4,1,1,100,50,TRUE,2,1.4168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,208.4067,208.4073,208.4075,208.7554,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7917,205.45,208.4059,0,0,0,87,1,100,39,NA,NA,NA,NA,NA,1,1,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,211.7526,211.7527,211.7527,212.1019,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.3878,208.7595,211.7523,0,1,1,6,1,10,25,NA,NA,NA,NA,NA,1,2,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,215.0994,215.0996,215.0997,215.4477,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5646,212.1063,215.099,0,2,2,1,1,7,26,NA,NA,NA,NA,NA,1,3,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,218.4618,218.4619,218.462,218.8116,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0372,215.4504,218.4616,0,3,3,86,1,100,38,NA,NA,NA,NA,NA,1,4,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,221.8091,221.8092,221.8093,222.158,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9477,218.8141,221.8087,0,4,4,50,1,40,35,NA,NA,NA,NA,NA,1,5,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,225.1554,225.1554,225.1554,225.5051,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8447,222.1603,225.1552,0,5,5,4,1,7,32,NA,NA,NA,NA,NA,1,6,"binary"
