"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",61.8871,64.8209,64.8214,65.1259,65.1259,65.2293,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",65.2307,68.1527,68.1528,68.1528,68.1529,68.5456,0,1,1,0,1,7,30,TRUE,2,1.8778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",68.5471,71.5012,71.5013,71.5013,71.5013,71.9099,0,2,2,3,1,3,27,TRUE,1,1.3654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",71.911,74.8599,74.86,74.86,74.86,75.2904,0,3,3,4,1,30,40,TRUE,2,1.2642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",75.2921,78.2501,78.2501,78.2501,78.2501,78.555,0,4,4,1,1,100,50,TRUE,1,1.9134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",NA,NA,135.8774,135.8776,135.8777,136.2911,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3839,132.932,135.8771,0,0,0,5,1,7,35,NA,NA,NA,NA,NA,1,1,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",NA,NA,139.2421,139.2421,139.2421,139.5469,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3649,136.2925,139.242,0,1,1,24,1,21,26,NA,NA,NA,NA,NA,1,2,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",NA,NA,142.6018,142.6018,142.6018,142.9366,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2545,139.5483,142.6017,0,2,2,31,1,25,29,NA,NA,NA,NA,NA,1,3,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",NA,NA,145.9309,145.9309,145.9309,146.3446,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1825,142.9378,145.9307,0,3,3,98,1,180,35,NA,NA,NA,NA,NA,1,4,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",NA,NA,149.2483,149.2484,149.2484,149.6664,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3351,146.3461,149.2482,0,4,4,73,1,90,30,NA,NA,NA,NA,NA,1,5,"binary"
"B67F83AFF19D40C0930DCAEF894D052E",1,"0198ecee-4b2e-7635-8ead-95a00ce83136","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_12h09.45.741",NA,NA,152.6923,152.6924,152.6924,153.0008,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.373,149.6673,152.6922,0,5,5,57,1,45,35,NA,NA,NA,NA,NA,1,6,"binary"
