"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",42.1036,45.0938,45.0941,45.3423,45.3424,45.4453,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",45.4461,48.4452,48.4453,48.4453,48.4453,48.7907,0,1,1,0,1,7,30,TRUE,2,1.4531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",48.7915,51.7907,51.7908,51.7908,51.7908,52.1421,0,2,2,2,1,14,45,TRUE,2,1.4062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",52.1427,55.1422,55.1422,55.1422,55.1422,55.4936,0,3,3,1,1,100,50,TRUE,2,1.8116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",55.4942,58.4937,58.4937,58.4937,58.4938,58.8451,0,4,4,4,1,30,40,TRUE,2,1.4073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,86.4815,86.4816,86.4816,86.8329,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.4361,83.4898,86.4814,0,0,0,58,1,45,40,NA,NA,NA,NA,NA,1,1,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,89.8328,89.8328,89.8328,90.1782,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0456,86.8336,89.8328,0,1,1,98,1,180,35,NA,NA,NA,NA,NA,1,2,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,93.1782,93.1783,93.1783,93.5298,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5189,90.1789,93.1782,0,2,2,47,1,30,38,NA,NA,NA,NA,NA,1,3,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,96.5298,96.5298,96.5298,96.8813,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3364,93.5303,96.5297,0,3,3,4,1,7,32,NA,NA,NA,NA,NA,1,4,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,99.8813,99.8813,99.8813,100.2328,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.135,96.882,99.8813,0,4,4,13,1,12,26,NA,NA,NA,NA,NA,1,5,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,103.2327,103.2327,103.2327,103.5782,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3153,100.2335,103.2327,0,5,5,73,1,90,30,NA,NA,NA,NA,NA,1,6,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,106.5782,106.5782,106.5782,106.9296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2094,103.5786,106.5781,0,6,6,42,1,30,26,NA,NA,NA,NA,NA,1,7,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,109.9297,109.9297,109.9297,110.2811,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9362,106.9301,109.9296,0,7,7,84,1,100,26,NA,NA,NA,NA,NA,1,8,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,113.2811,113.2811,113.2811,113.6326,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2449,110.2817,113.2811,0,8,8,33,1,25,33,NA,NA,NA,NA,NA,1,9,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,116.6327,116.6327,116.6327,116.978,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9474,113.633,116.6326,0,9,9,7,1,10,26,NA,NA,NA,NA,NA,1,10,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,119.978,119.9781,119.9781,120.3295,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3361,116.9785,119.978,0,10,10,57,1,45,35,NA,NA,NA,NA,NA,1,11,"binary"
"B82F4D1B45E841D4BB30D214369C533E",1,"0198f77c-9010-73da-936a-6591b0cfa55e","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h20.20.932",NA,NA,123.3295,123.3295,123.3295,123.681,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1199,120.3301,123.3295,0,11,11,20,1,14,28,NA,NA,NA,NA,NA,1,12,"binary"
