"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",56.853,59.847,59.848,59.853,59.853,60.155,0,0,0,3,1,3,27,TRUE,1,1.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",60.158,63.184,63.184,63.184,63.184,63.479,0,1,1,1,1,100,50,TRUE,1,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",63.481,66.437,66.437,66.437,66.437,66.918,0,2,2,2,1,14,45,TRUE,1,1.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",66.926,69.799,69.8,69.8,69.8,70.133,0,3,3,4,1,30,40,TRUE,1,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",70.136,73.193,73.193,73.193,73.193,73.494,0,4,4,0,1,7,30,TRUE,1,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,174.592,174.592,174.592,174.956,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.605,171.716,174.592,0,0,0,16,1,12,33,NA,NA,NA,NA,NA,1,1,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,177.971,177.971,177.971,178.361,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.761,174.959,177.971,0,1,1,11,1,10,32,NA,NA,NA,NA,NA,1,2,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,181.36,181.36,181.36,181.71,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.651,178.37,181.36,0,2,2,9,1,10,29,NA,NA,NA,NA,NA,1,3,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,184.755,184.755,184.755,185.019,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.004,181.713,184.755,0,3,3,23,1,14,39,NA,NA,NA,NA,NA,1,4,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,188.109,188.11,188.11,188.349,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.541,185.032,188.109,0,4,4,96,1,180,27,NA,NA,NA,NA,NA,1,5,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,191.442,191.442,191.442,191.689,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.414,188.351,191.441,0,5,5,49,1,40,33,NA,NA,NA,NA,NA,1,6,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,194.759,194.759,194.759,195.117,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.505,191.698,194.759,0,6,6,14,1,12,28,NA,NA,NA,NA,NA,1,7,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,198.131,198.131,198.131,198.5,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.777,195.12,198.131,0,7,7,36,1,28,26,NA,NA,NA,NA,NA,1,8,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,201.39,201.39,201.39,201.756,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.726,198.511,201.39,0,8,8,1,1,7,26,NA,NA,NA,NA,NA,1,9,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,204.866,204.866,204.866,205.101,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.508,201.758,204.865,0,9,9,15,1,12,31,NA,NA,NA,NA,NA,1,10,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,208.17,208.17,208.17,208.544,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.277,205.103,208.17,0,10,10,24,1,21,26,NA,NA,NA,NA,NA,1,11,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,211.476,211.476,211.476,211.829,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.662,208.547,211.475,0,11,11,48,1,40,27,NA,NA,NA,NA,NA,1,12,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,214.863,214.863,214.863,215.239,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.523,211.837,214.862,0,12,12,104,1,200,35,NA,NA,NA,NA,NA,1,13,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,218.207,218.207,218.207,218.566,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.954,215.248,218.206,0,13,13,57,1,45,35,NA,NA,NA,NA,NA,1,14,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,221.608,221.608,221.608,221.852,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.661,218.568,221.608,0,14,14,93,1,150,40,NA,NA,NA,NA,NA,1,15,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,224.953,224.953,224.953,225.204,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.479,221.861,224.952,0,15,15,38,1,28,32,NA,NA,NA,NA,NA,1,16,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,228.261,228.261,228.261,228.632,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.007,225.206,228.261,0,16,16,88,1,100,46,NA,NA,NA,NA,NA,1,17,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,231.637,231.637,231.637,231.913,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.491,228.644,231.637,0,17,17,47,1,30,38,NA,NA,NA,NA,NA,1,18,"binary"
"BA3FE08EE94F4F7B96DE578050CB81DE",1,"01990a9f-1d7e-7dcc-b85f-ac9366f1ff98","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h56.26.744",NA,NA,234.895,235.269,235.269,235.269,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,231.916,234.894,0,18,18,26,1,21,29,NA,NA,NA,NA,NA,1,19,"binary"
