"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",28.2425,31.2221,31.2234,31.2348,31.2348,31.572,0,0,0,1,1,100,50,TRUE,2,2.1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",31.5752,34.5715,34.5717,34.5718,34.5718,34.9225,0,1,1,0,1,7,30,TRUE,2,2.0646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",34.925,37.9226,37.9229,37.9231,37.9233,38.2718,0,2,2,4,1,30,40,TRUE,2,1.5938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",38.2749,41.2725,41.2726,41.2728,41.2728,41.6212,0,3,3,3,1,3,27,TRUE,1,1.8305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",41.6235,44.6219,44.6221,44.6222,44.6222,44.9711,0,4,4,2,1,14,45,TRUE,2,0.9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,65.9389,65.9393,65.9395,66.2881,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5061,62.9578,65.9382,0,0,0,61,1,50,30,NA,NA,NA,NA,NA,1,1,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,69.288,69.5377,69.5378,69.6372,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,66.2907,69.2879,0,1,1,67,1,60,33,NA,NA,NA,NA,NA,1,2,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,72.6379,72.6379,72.638,72.9867,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3327,69.6394,72.6377,0,2,2,102,1,200,26,NA,NA,NA,NA,NA,1,3,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,75.9869,75.987,75.987,76.3375,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0631,72.9886,75.9868,0,3,3,29,1,21,38,NA,NA,NA,NA,NA,1,4,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,79.3376,79.3376,79.3377,79.6873,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9115,76.3399,79.3374,0,4,4,40,1,28,39,NA,NA,NA,NA,NA,1,5,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,82.6874,82.6874,82.6875,83.0362,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2894,79.6896,82.6872,0,5,5,44,1,30,29,NA,NA,NA,NA,NA,1,6,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,86.0371,86.0372,86.0372,86.3871,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5044,83.0383,86.0369,0,6,6,92,1,150,35,NA,NA,NA,NA,NA,1,7,"binary"
"BC0F43D6FC06459BAE13994AA4B77FA5",1,"01990a98-88e3-7cbe-8fd7-e9827715b262","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_03h24.22.331",NA,NA,89.3865,89.3866,89.3866,89.7368,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9481,86.3894,89.3863,0,7,7,31,1,25,29,NA,NA,NA,NA,NA,1,8,"binary"
