"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",28.424,31.4128,31.4132,31.6612,31.6613,31.7585,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",31.7604,34.7583,34.7586,35.0083,35.0083,35.1126,0,1,1,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",35.1139,38.1072,38.1073,38.1073,38.1073,38.4598,0,2,2,3,1,3,27,TRUE,1,1.6393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",38.4611,41.4595,41.4596,41.4596,41.4597,41.8066,0,3,3,0,1,7,30,TRUE,2,1.7598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",41.8081,44.8087,44.8088,44.8088,44.8089,45.1607,0,4,4,2,1,14,45,TRUE,2,1.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",NA,NA,72.341,72.3411,72.3412,72.6884,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1371,69.354,72.3408,0,0,0,90,1,150,31,NA,NA,NA,NA,NA,1,1,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",NA,NA,75.6884,75.6886,75.6886,76.0436,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0262,72.6896,75.6883,0,1,1,57,1,45,35,NA,NA,NA,NA,NA,1,2,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",NA,NA,79.0359,79.0359,79.0359,79.3893,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.4754,76.0444,79.0357,0,2,2,11,1,10,32,NA,NA,NA,NA,NA,1,3,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",NA,NA,82.3897,82.3898,82.3898,82.7362,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5774,79.3903,82.3895,0,3,3,48,1,40,27,NA,NA,NA,NA,NA,1,4,"binary"
"BFAADA1212E844E4ACB3C27FE819CCF2",1,"0198f77c-045c-7b3b-a706-a26482575d9b","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h21.50.296",NA,NA,85.7365,85.7366,85.7366,86.0903,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9106,82.7373,85.7364,0,4,4,1,1,7,26,NA,NA,NA,NA,NA,1,5,"binary"
