"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",30.0611,32.9868,32.9887,33.2363,33.2366,33.3359,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",33.3421,36.3332,36.3335,36.3336,36.3336,36.6831,0,1,1,4,1,30,40,TRUE,2,1.4772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",36.6879,39.6794,39.6795,39.6796,39.6796,40.0291,0,2,2,3,1,3,27,TRUE,1,1.8047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",40.0303,43.044,43.0443,43.0444,43.0444,43.3937,0,3,3,1,1,100,50,TRUE,2,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",43.3986,46.3913,46.3915,46.3917,46.3917,46.7411,0,4,4,2,1,14,45,TRUE,2,1.2909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",NA,NA,68.4066,68.407,68.4072,68.7553,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1186,65.4277,68.4057,0,0,0,90,1,150,31,NA,NA,NA,NA,NA,1,1,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",NA,NA,71.7521,71.7522,71.7522,72.1017,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6704,68.7632,71.7519,0,1,1,23,1,14,39,NA,NA,NA,NA,NA,1,2,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",NA,NA,75.0996,75.0996,75.0997,75.4492,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8289,72.1068,75.0993,0,2,2,38,1,28,32,NA,NA,NA,NA,NA,1,3,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",NA,NA,78.4469,78.4471,78.4471,78.7961,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6232,75.4548,78.4467,0,3,3,84,1,100,26,NA,NA,NA,NA,NA,1,4,"binary"
"CEC4E0F433B4495E8CA266915FE46705",1,"01990a9a-efb7-7e96-ac48-a1902c4bf740","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.07.410",NA,NA,81.8097,81.8097,81.8097,82.159,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3013,78.8008,81.8096,0,4,4,52,1,40,47,NA,NA,NA,NA,NA,1,5,"binary"
