"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",18.8751,21.8505,21.8517,21.8522,21.8523,22.2004,0,0,0,3,1,3,27,TRUE,1,2.3786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",22.2043,25.1963,25.1968,25.1971,25.1971,25.5464,0,1,1,4,1,30,40,TRUE,1,2.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",25.5495,28.5432,28.5437,28.5438,28.5439,28.8927,0,2,2,2,1,14,45,TRUE,2,1.9839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",28.8958,31.9083,31.9085,31.9274,31.9275,32.2564,0,3,3,0,1,7,30,TRUE,2,2.2624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",32.2589,35.2541,35.2542,35.2543,35.2543,35.6031,0,4,4,1,1,100,50,TRUE,1,1.4322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",NA,NA,54.336,54.3364,54.3366,54.6846,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8082,51.3648,54.3355,0,0,0,89,1,100,54,NA,NA,NA,NA,NA,1,1,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",NA,NA,57.6818,57.6819,57.6819,58.0343,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5116,54.6873,57.6815,0,1,1,35,1,25,46,NA,NA,NA,NA,NA,1,2,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",NA,NA,61.0288,61.0289,61.0289,61.3777,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3238,58.037,61.0283,0,2,2,69,1,60,40,NA,NA,NA,NA,NA,1,3,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",NA,NA,64.3921,64.3926,64.3926,64.7411,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0123,61.3806,64.3917,0,3,3,52,1,40,47,NA,NA,NA,NA,NA,1,4,"binary"
"DA2A97DAB6E64CA18FA0EF71778F34A0",1,"0198f77e-ede9-791c-ae8a-ba23663693ad","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h23.02.536",NA,NA,67.7413,67.7415,67.7415,68.0899,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7859,64.744,67.741,0,4,4,77,1,90,54,NA,NA,NA,NA,NA,1,5,"binary"
