"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",178.419,181.3422,181.3444,181.37,181.3702,181.6921,0,0,0,4,1,30,40,TRUE,1,1.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",181.6986,184.6908,184.6915,184.6917,184.6918,185.0403,0,1,1,1,1,100,50,TRUE,1,0.7615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",185.048,188.0388,188.0393,188.0395,188.0398,188.3885,0,2,2,0,1,7,30,TRUE,1,1.1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",188.3948,191.3871,191.3876,191.3878,191.3883,191.7369,0,3,3,3,1,3,27,TRUE,1,0.6573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",191.7433,194.7356,194.7361,194.7363,194.7365,195.0853,0,4,4,2,1,14,45,TRUE,1,0.8606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",NA,NA,252.712,252.7132,252.7136,253.0602,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2915,249.7828,252.7108,0,0,0,49,1,40,33,NA,NA,NA,NA,NA,1,1,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",NA,NA,256.0589,256.0592,256.0592,256.4121,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4612,253.0671,256.0584,0,1,1,44,1,30,29,NA,NA,NA,NA,NA,1,2,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",NA,NA,259.4074,259.4077,259.4077,259.7567,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.3662,256.4198,259.4069,0,2,2,36,1,28,26,NA,NA,NA,NA,NA,1,3,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",NA,NA,262.756,262.7567,262.7568,263.1051,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5475,259.7614,262.7551,0,3,3,81,1,95,40,NA,NA,NA,NA,NA,1,4,"binary"
"DD44CA1228D0434495F8E152F1F7793D",1,"01990aa8-a66a-7688-8742-e5691d48a604","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h41.28.224",NA,NA,266.1086,266.109,266.1092,266.4538,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4424,263.1099,266.1082,0,4,4,40,1,28,39,NA,NA,NA,NA,NA,1,5,"binary"
