"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",71.7621,74.7082,74.7098,74.9578,74.958,75.0583,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",75.0644,78.0442,78.0445,78.0446,78.0448,78.394,0,1,1,0,1,7,30,TRUE,2,1.6501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",78.3963,81.3973,81.3977,81.3978,81.398,81.7475,0,2,2,2,1,14,45,TRUE,2,1.4068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",81.7515,84.7503,84.7505,84.7507,84.7507,85.1007,0,3,3,1,1,100,50,TRUE,2,1.2717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",85.1044,88.1038,88.104,88.1042,88.1043,88.4537,0,4,4,3,1,3,27,TRUE,2,1.6558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,128.0918,128.0919,128.092,128.4426,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2137,125.1362,128.0916,0,0,0,32,1,25,31,NA,NA,NA,NA,NA,1,1,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,131.4289,131.429,131.429,131.7788,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5662,128.447,131.4285,0,1,1,13,1,12,26,NA,NA,NA,NA,NA,1,2,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,134.7822,134.7825,134.7826,135.1319,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5692,131.783,134.7819,0,2,2,98,1,180,35,NA,NA,NA,NA,NA,1,3,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,138.1343,138.1344,138.1344,138.4849,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0161,135.136,138.1342,0,3,3,26,1,21,29,NA,NA,NA,NA,NA,1,4,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,141.4887,141.4889,141.4889,141.8383,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3173,138.4873,141.4882,0,4,4,104,1,200,35,NA,NA,NA,NA,NA,1,5,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,144.8417,144.8422,144.8422,145.1916,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.8647,141.8415,144.8416,0,5,5,22,1,14,35,NA,NA,NA,NA,NA,1,6,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,148.1777,148.1778,148.1778,148.5278,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8958,145.1948,148.1775,0,6,6,81,1,95,40,NA,NA,NA,NA,NA,1,7,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,151.5315,151.5318,151.5319,151.8813,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6565,148.5298,151.5312,0,7,7,74,1,90,33,NA,NA,NA,NA,NA,1,8,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,154.8847,154.8849,154.885,155.234,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5364,151.8845,154.8843,0,8,8,59,1,45,46,NA,NA,NA,NA,NA,1,9,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,158.2378,158.2379,158.238,158.5872,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.4425,155.2352,158.2374,0,9,9,21,1,14,32,NA,NA,NA,NA,NA,1,10,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,161.5912,161.5914,161.5915,161.9409,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3856,158.5885,161.5907,0,10,10,73,1,90,30,NA,NA,NA,NA,NA,1,11,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,164.9441,164.9443,164.9445,165.2775,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9828,161.9442,164.9438,0,11,11,90,1,150,31,NA,NA,NA,NA,NA,1,12,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,168.2806,168.2808,168.2808,168.6302,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3354,165.2809,168.2803,0,12,12,102,1,200,26,NA,NA,NA,NA,NA,1,13,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,171.6339,171.6339,171.6341,171.9838,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5548,168.6313,171.6338,0,13,13,86,1,100,38,NA,NA,NA,NA,NA,1,14,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,174.987,174.9874,174.9875,175.337,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1355,171.9872,174.9867,0,14,14,82,1,95,47,NA,NA,NA,NA,NA,1,15,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,178.3406,178.3408,178.3409,178.6897,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3664,175.3402,178.34,0,15,15,4,1,7,32,NA,NA,NA,NA,NA,1,16,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,181.6937,181.6939,181.694,182.0434,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1834,178.6915,181.6932,0,16,16,88,1,100,46,NA,NA,NA,NA,NA,1,17,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,185.0293,185.0293,185.0294,185.3796,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.73,182.0467,185.0292,0,17,17,55,1,45,29,NA,NA,NA,NA,NA,1,18,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,188.3833,188.3834,188.3835,188.7331,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0889,185.3813,188.383,0,18,18,96,1,180,27,NA,NA,NA,NA,NA,1,19,"binary"
"DDF654B04475461CAA83D9BFD3636F52",1,"01990aa1-82c1-78cc-a679-3895539e817f","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h33.50.181",NA,NA,191.736,191.736,191.736,192.0864,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.6233,188.7364,191.7358,0,19,19,2,1,7,28,NA,NA,NA,NA,NA,1,20,"binary"
