"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",78.091,81.084,81.085,81.089,81.089,81.313,0,0,0,2,1,14,45,TRUE,2,1.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",81.315,84.234,84.235,84.235,84.235,84.694,0,1,1,3,1,3,27,TRUE,2,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",84.704,87.775,87.775,87.776,87.776,88.011,0,2,2,1,1,100,50,TRUE,1,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",88.014,90.917,90.917,90.918,90.918,91.36,0,3,3,0,1,7,30,TRUE,1,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",91.37,94.261,94.262,94.262,94.262,94.71,0,4,4,4,1,30,40,TRUE,1,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,167.161,167.162,167.162,167.613,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.274,164.212,167.161,0,0,0,6,1,10,25,NA,NA,NA,NA,NA,1,1,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,170.544,170.544,170.544,170.811,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.738,167.622,170.543,0,1,1,16,1,12,33,NA,NA,NA,NA,NA,1,2,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,173.805,173.805,173.805,174.263,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.497,170.814,173.805,0,2,2,14,1,12,28,NA,NA,NA,NA,NA,1,3,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,177.082,177.082,177.082,177.549,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.755,174.266,177.081,0,3,3,99,1,180,39,NA,NA,NA,NA,NA,1,4,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,180.535,180.536,180.536,181.002,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.553,177.557,180.535,0,4,4,95,1,150,54,NA,NA,NA,NA,NA,1,5,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,183.91,183.91,183.91,184.363,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.746,181.005,183.91,0,5,5,30,1,25,27,NA,NA,NA,NA,NA,1,6,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,187.235,187.235,187.235,187.684,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.749,184.371,187.234,0,6,6,12,1,12,25,NA,NA,NA,NA,NA,1,7,"binary"
"E42BD53D392D4B6299133CD75DCC9AB2",1,"01990a98-e6b4-723b-9609-9eb19b9df618","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h26.44.706",NA,NA,190.516,190.516,190.516,190.976,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.273,187.687,190.516,0,7,7,11,1,10,32,NA,NA,NA,NA,NA,1,8,"binary"
