"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",40.5508,43.4811,43.483,43.4837,43.484,43.8296,0,0,0,0,1,7,30,TRUE,2,1.7412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",43.8354,46.8207,46.8213,46.8213,46.8213,47.1776,0,1,1,1,1,100,50,TRUE,2,1.1659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",47.1805,50.1775,50.1787,50.1788,50.1789,50.5272,0,2,2,3,1,3,27,TRUE,2,1.0704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",50.5338,53.5352,53.5362,53.5749,53.5749,53.8781,0,3,3,4,1,30,40,TRUE,2,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",53.8847,56.8764,56.8774,56.8776,56.8776,57.2269,0,4,4,2,1,14,45,TRUE,2,1.1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",NA,NA,95.1481,95.1491,95.1495,95.4957,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0724,92.2032,95.146,0,0,0,1,1,7,26,NA,NA,NA,NA,NA,1,1,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",NA,NA,98.4853,98.4853,98.4854,98.8344,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9726,95.5032,98.4845,0,1,1,44,1,30,29,NA,NA,NA,NA,NA,1,2,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",NA,NA,101.8391,101.8393,101.8393,102.1909,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8841,98.8369,101.8385,0,2,2,55,1,45,29,NA,NA,NA,NA,NA,1,3,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",NA,NA,105.185,105.1851,105.1852,105.5337,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0073,102.1947,105.1839,0,3,3,72,1,90,26,NA,NA,NA,NA,NA,1,4,"binary"
"E6FBD82DDFCF477286614D9F80D9FE11",1,"01990aa2-1c70-77cd-8a07-dcb4bed240e8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h34.05.047",NA,NA,108.5333,108.5334,108.5334,108.8828,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0438,105.5364,108.5327,0,4,4,4,1,7,32,NA,NA,NA,NA,NA,1,5,"binary"
