"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",47.0962,50.0592,50.062,50.3109,50.3114,50.4087,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",50.4156,53.3911,53.3918,53.3919,53.3919,53.7732,0,1,1,3,1,3,27,TRUE,2,0.7925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",53.7792,56.7523,56.7535,56.7538,56.7538,57.1163,0,2,2,4,1,30,40,TRUE,1,2.3676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",57.1221,60.1001,60.1012,60.1013,60.1013,60.4535,0,3,3,1,1,100,50,TRUE,2,1.8116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",60.4587,63.4511,63.4516,63.4517,63.4517,63.8062,0,4,4,0,1,7,30,TRUE,1,2.0879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,89.6262,89.8686,89.869,89.9545,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,86.6833,89.6243,0,0,0,93,1,150,40,NA,NA,NA,NA,NA,1,1,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,92.9749,92.975,92.9751,93.3169,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2563,89.9618,92.9738,0,1,1,73,1,90,30,NA,NA,NA,NA,NA,1,2,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,96.3154,96.3154,96.3155,96.6725,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3014,93.3223,96.3145,0,2,2,17,1,12,35,NA,NA,NA,NA,NA,1,3,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,99.6837,99.6839,99.684,100.0334,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3634,96.6761,99.6829,0,3,3,63,1,50,40,NA,NA,NA,NA,NA,1,4,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,103.0026,103.0026,103.0026,103.3707,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9148,100.0394,103.0017,0,4,4,62,1,50,35,NA,NA,NA,NA,NA,1,5,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,106.3565,106.3566,106.3567,106.7166,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.884,103.3769,106.3553,0,5,5,75,1,90,40,NA,NA,NA,NA,NA,1,6,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,109.7273,109.7274,109.7274,110.0601,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9511,106.7253,109.7265,0,6,6,36,1,28,26,NA,NA,NA,NA,NA,1,7,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,113.0678,113.0681,113.0683,113.4182,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8012,110.0641,113.0667,0,7,7,78,1,95,31,NA,NA,NA,NA,NA,1,8,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,116.4062,116.4063,116.4064,116.7676,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8682,113.4238,116.405,0,8,8,42,1,30,26,NA,NA,NA,NA,NA,1,9,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,119.753,119.7531,119.7532,120.1019,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8287,116.7731,119.752,0,9,9,7,1,10,26,NA,NA,NA,NA,NA,1,10,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,123.1045,123.1046,123.1046,123.4792,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0699,120.1067,123.1033,0,10,10,22,1,14,35,NA,NA,NA,NA,NA,1,11,"binary"
"E8454A56D9AC4EA0ABBBFB0320FBD547",1,"01990aa6-4ae6-72ee-8968-3b60f857f18b","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_06h38.36.733",NA,NA,126.4644,126.4644,126.4644,126.8164,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9209,123.4859,126.4638,0,11,11,2,1,7,28,NA,NA,NA,NA,NA,1,12,"binary"
