"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",41.4108,44.3475,44.3486,44.5971,44.5974,44.6972,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",44.7005,47.6964,47.6966,47.6966,47.6967,48.0464,0,1,1,3,1,3,27,TRUE,2,2.0509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",48.05,51.0459,51.0461,51.0461,51.0462,51.3958,0,2,2,2,1,14,45,TRUE,2,1.2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",51.3977,54.3955,54.3956,54.3957,54.3958,54.7447,0,3,3,4,1,30,40,TRUE,2,1.1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",54.7465,57.7452,57.7454,57.7455,57.7456,58.0954,0,4,4,0,1,7,30,TRUE,2,1.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,86.4079,86.4083,86.4085,86.757,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5182,83.4886,86.4073,0,0,0,0,1,7,25,NA,NA,NA,NA,NA,1,1,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,89.7559,89.756,89.756,90.1059,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6488,86.763,89.7558,0,1,1,20,1,14,28,NA,NA,NA,NA,NA,1,2,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,93.1059,93.106,93.1061,93.4559,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.172,90.1086,93.1058,0,2,2,12,1,12,25,NA,NA,NA,NA,NA,1,3,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,96.4558,96.456,96.4561,96.8052,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1973,93.4618,96.4555,0,3,3,26,1,21,29,NA,NA,NA,NA,NA,1,4,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,99.8052,99.8054,99.8055,100.1548,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3124,96.8104,99.805,0,4,4,31,1,25,29,NA,NA,NA,NA,NA,1,5,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,103.1545,103.1545,103.1546,103.505,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9987,100.1598,103.1543,0,5,5,24,1,21,26,NA,NA,NA,NA,NA,1,6,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,106.5032,106.5033,106.5033,106.8529,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.695,103.5124,106.5031,0,6,6,25,1,21,27,NA,NA,NA,NA,NA,1,7,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,109.8526,109.8526,109.8527,110.2024,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8556,106.8545,109.8525,0,7,7,33,1,25,33,NA,NA,NA,NA,NA,1,8,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,113.2021,113.2021,113.2022,113.5518,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6418,110.2041,113.2019,0,8,8,84,1,100,26,NA,NA,NA,NA,NA,1,9,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,116.5516,116.5517,116.5518,116.9014,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9206,113.5535,116.5515,0,9,9,58,1,45,40,NA,NA,NA,NA,NA,1,10,"binary"
"EBF31F4BA5204F098DF439462C0CF83E",1,"0198f77c-4f06-7602-a33d-548efcf3fbb2","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h19.59.316",NA,NA,119.901,119.9011,119.9011,120.2508,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9098,116.9029,119.9009,0,10,10,43,1,30,27,NA,NA,NA,NA,NA,1,11,"binary"
