"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",33.6884,36.6704,36.6713,36.6832,36.6833,37.0202,0,0,0,1,1,100,50,TRUE,2,1.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",37.0236,40.02,40.0203,40.0203,40.0203,40.37,0,1,1,2,1,14,45,TRUE,2,1.9112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",40.3722,43.3702,43.3703,43.3704,43.3704,43.72,0,2,2,4,1,30,40,TRUE,2,2.2163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",43.7223,46.72,46.7202,46.7203,46.7203,47.07,0,3,3,0,1,7,30,TRUE,2,2.3818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",47.072,50.0699,50.0701,50.0702,50.0702,50.4199,0,4,4,3,1,3,27,TRUE,2,2.7386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",NA,NA,70.3374,70.5868,70.5869,70.6868,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,67.353,70.3369,0,0,0,24,1,21,26,NA,NA,NA,NA,NA,1,1,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",NA,NA,73.6868,73.6869,73.6869,74.0367,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.323,70.6889,73.6867,0,1,1,26,1,21,29,NA,NA,NA,NA,NA,1,2,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",NA,NA,77.0369,77.2866,77.2867,77.3866,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,74.0385,77.0367,0,2,2,83,1,95,54,NA,NA,NA,NA,NA,1,3,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",NA,NA,80.3868,80.3869,80.3869,80.7366,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.9721,77.3886,80.3866,0,3,3,14,1,12,28,NA,NA,NA,NA,NA,1,4,"binary"
"F10BBD77DD6A4D9BBE059E526838676F",1,"0198f77e-53f1-7cd5-93dd-a7b21a26e4b6","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h22.00.161",NA,NA,83.7368,83.7369,83.7369,84.0867,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7262,80.7383,83.7367,0,4,4,64,1,50,46,NA,NA,NA,NA,NA,1,5,"binary"
