"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",27.5268,30.5115,30.5119,30.517,30.517,30.8608,0,0,0,2,1,14,45,TRUE,2,1.7402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",30.8649,33.8613,33.8616,33.8616,33.8616,34.2103,0,1,1,3,1,3,27,TRUE,2,1.5852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",34.2125,37.2112,37.2115,37.2116,37.2116,37.5611,0,2,2,1,1,100,50,TRUE,2,0.9306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",37.5636,40.5606,40.5608,40.5609,40.5609,40.911,0,3,3,4,1,30,40,TRUE,2,1.2852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",40.9126,43.9105,43.9107,43.9107,43.9107,44.2604,0,4,4,0,1,7,30,TRUE,2,1.2849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,449.8933,449.8935,449.8938,450.2426,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0112,446.9051,449.8929,0,0,0,38,1,28,32,NA,NA,NA,NA,NA,1,1,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,453.2425,453.2426,453.2427,453.5922,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.854,450.245,453.2423,0,1,1,93,1,150,40,NA,NA,NA,NA,NA,1,2,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,456.5921,456.5921,456.5921,456.9425,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0009,453.5943,456.592,0,2,2,57,1,45,35,NA,NA,NA,NA,NA,1,3,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,459.9426,459.9427,459.9428,460.292,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.317,456.9444,459.9424,0,3,3,36,1,28,26,NA,NA,NA,NA,NA,1,4,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,463.2911,463.2912,463.2912,463.6422,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8442,460.2935,463.291,0,4,4,60,1,50,27,NA,NA,NA,NA,NA,1,5,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,466.6417,466.6417,466.6417,466.9923,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6636,463.6454,466.6416,0,5,5,58,1,45,40,NA,NA,NA,NA,NA,1,6,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,469.9928,469.9928,469.9928,470.342,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0905,466.9951,469.9925,0,6,6,81,1,95,40,NA,NA,NA,NA,NA,1,7,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,473.3422,473.3422,473.3422,473.6926,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.9183,470.344,473.342,0,7,7,94,1,150,47,NA,NA,NA,NA,NA,1,8,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,476.6923,476.6924,476.6924,477.0421,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9838,473.6946,476.6921,0,8,8,0,1,7,25,NA,NA,NA,NA,NA,1,9,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,480.0425,480.0427,480.0427,480.3914,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.9074,477.0433,480.0423,0,9,9,23,1,14,39,NA,NA,NA,NA,NA,1,10,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,483.3923,483.3924,483.3924,483.7422,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.4992,480.3937,483.3922,0,10,10,32,1,25,31,NA,NA,NA,NA,NA,1,11,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,486.7425,486.7426,486.7426,487.0923,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.4624,483.7435,486.7423,0,11,11,98,1,180,35,NA,NA,NA,NA,NA,1,12,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,490.0885,490.0887,490.0887,490.4382,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0027,487.0943,490.0883,0,12,12,89,1,100,54,NA,NA,NA,NA,NA,1,13,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,493.4377,493.4377,493.4377,493.7879,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7656,490.4403,493.4375,0,13,13,95,1,150,54,NA,NA,NA,NA,NA,1,14,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,496.7928,496.7929,496.7929,497.1422,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2453,493.7895,496.7927,0,14,14,68,1,60,35,NA,NA,NA,NA,NA,1,15,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,500.1416,500.1418,500.1418,500.4925,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8775,497.1433,500.1415,0,15,15,14,1,12,28,NA,NA,NA,NA,NA,1,16,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,503.488,503.4881,503.4881,503.8384,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0445,500.495,503.4878,0,16,16,64,1,50,46,NA,NA,NA,NA,NA,1,17,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,506.838,507.0884,507.0884,507.1886,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,503.8409,506.8379,0,17,17,61,1,50,30,NA,NA,NA,NA,NA,1,18,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,510.1887,510.1887,510.1887,510.5374,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1333,507.1915,510.1884,0,18,18,73,1,90,30,NA,NA,NA,NA,NA,1,19,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,513.538,513.538,513.538,513.888,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1675,510.5396,513.538,0,19,19,21,1,14,32,NA,NA,NA,NA,NA,1,20,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,516.8878,516.888,516.888,517.2382,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2969,513.8889,516.8878,0,20,20,55,1,45,29,NA,NA,NA,NA,NA,1,21,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,520.2388,520.2389,520.239,520.5878,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2473,517.2404,520.2385,0,21,21,97,1,180,31,NA,NA,NA,NA,NA,1,22,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,523.5888,523.5888,523.5888,523.9377,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6831,520.5903,523.5886,0,22,22,18,1,14,25,NA,NA,NA,NA,NA,1,23,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,526.9376,526.9377,526.9377,527.2886,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7603,523.9396,526.9375,0,23,23,90,1,150,31,NA,NA,NA,NA,NA,1,24,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,530.2884,530.2885,530.2885,530.6381,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6547,527.2907,530.2883,0,24,24,43,1,30,27,NA,NA,NA,NA,NA,1,25,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,533.6387,533.6388,533.6388,533.9886,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1703,530.6392,533.6385,0,25,25,4,1,7,32,NA,NA,NA,NA,NA,1,26,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,536.9885,536.9885,536.9886,537.3386,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8997,533.991,536.9883,0,26,26,82,1,95,47,NA,NA,NA,NA,NA,1,27,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,540.3385,540.3385,540.3385,540.6882,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8758,537.3411,540.3383,0,27,27,101,1,180,54,NA,NA,NA,NA,NA,1,28,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,543.6885,543.6885,543.6885,544.0376,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9094,540.6893,543.6884,0,28,28,11,1,10,32,NA,NA,NA,NA,NA,1,29,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,547.0389,547.0389,547.0389,547.3883,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.532,544.0398,547.0386,0,29,29,71,1,60,54,NA,NA,NA,NA,NA,1,30,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,550.3888,550.3888,550.3888,550.7383,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8326,547.3896,550.3886,0,30,30,25,1,21,27,NA,NA,NA,NA,NA,1,31,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,553.7388,553.7388,553.7388,554.0886,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8585,550.7394,553.7386,0,31,31,19,1,14,26,NA,NA,NA,NA,NA,1,32,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,557.089,557.0891,557.0891,557.4384,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8089,554.0904,557.0886,0,32,32,80,1,95,35,NA,NA,NA,NA,NA,1,33,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,560.4387,560.4387,560.4388,560.7887,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.1738,557.4401,560.4386,0,33,33,105,1,200,39,NA,NA,NA,NA,NA,1,34,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,563.7891,563.7892,563.7892,564.1385,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.6655,560.791,563.7888,0,34,34,74,1,90,33,NA,NA,NA,NA,NA,1,35,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,567.1399,567.1399,567.1399,567.4884,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.4011,564.1401,567.1397,0,35,35,5,1,7,35,NA,NA,NA,NA,NA,1,36,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,570.4886,570.4887,570.4887,570.8396,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6109,567.4904,570.4885,0,36,36,106,1,200,47,NA,NA,NA,NA,NA,1,37,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,573.8388,573.8388,573.8388,574.1887,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.6644,570.8416,573.8386,0,37,37,79,1,95,33,NA,NA,NA,NA,NA,1,38,"binary"
"F23C5455D9794CD9B96FBE715F906BF7",1,"0198f782-9f98-7e3d-9dcd-d25bd74ccc58","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_15h26.54.193",NA,NA,577.1888,577.4391,577.4391,577.5395,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,574.1907,577.1885,0,38,38,28,1,21,32,NA,NA,NA,NA,NA,1,39,"binary"
