"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",56.3356,59.3113,59.3124,59.5602,59.5603,59.6611,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",59.6651,62.661,62.6612,62.6614,62.6614,63.01,0,1,1,3,1,3,27,TRUE,2,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",63.0123,66.0112,66.0115,66.0116,66.0116,66.3612,0,2,2,4,1,30,40,TRUE,1,1.4411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",66.3639,69.3609,69.361,69.361,69.361,69.7112,0,3,3,1,1,100,50,TRUE,1,1.6736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",69.7138,72.7114,72.7115,72.7116,72.7116,73.0604,0,4,4,0,1,7,30,TRUE,2,1.7061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",NA,NA,104.6803,104.6804,104.6805,105.0296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1562,101.7023,104.6798,0,0,0,58,1,45,40,NA,NA,NA,NA,NA,1,1,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",NA,NA,108.0296,108.0297,108.0297,108.3795,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4365,105.0315,108.0295,0,1,1,103,1,200,28,NA,NA,NA,NA,NA,1,2,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",NA,NA,111.3798,111.3798,111.3798,111.7296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9058,108.3815,111.3796,0,2,2,34,1,25,35,NA,NA,NA,NA,NA,1,3,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",NA,NA,114.7299,114.73,114.73,115.0795,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.884,111.7313,114.7297,0,3,3,72,1,90,26,NA,NA,NA,NA,NA,1,4,"binary"
"FAC2AA4E8E61415A854BA76B9E54D48B",1,"0198f7ab-21ac-7e29-95b1-ac33a374e7b7","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_17h19.18.812",NA,NA,118.0801,118.0802,118.0803,118.43,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9123,115.081,118.0799,0,4,4,69,1,60,40,NA,NA,NA,NA,NA,1,5,"binary"
