"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",20.1908,23.1569,23.1586,23.175,23.1752,23.5063,0,0,0,1,1,100,50,TRUE,2,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",23.5102,26.5058,26.5061,26.5062,26.5062,26.8558,0,1,1,3,1,3,27,TRUE,2,1.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",26.8591,29.8545,29.8546,29.8547,29.8547,30.2057,0,2,2,0,1,7,30,TRUE,2,0.4978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",30.2094,33.2058,33.206,33.2062,33.2062,33.5557,0,3,3,2,1,14,45,TRUE,2,0.3929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",33.5592,36.5555,36.556,36.5561,36.5562,36.9057,0,4,4,4,1,30,40,TRUE,2,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,54.374,54.3743,54.3744,54.7227,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6711,51.4018,54.3735,0,0,0,53,1,40,54,NA,NA,NA,NA,NA,1,1,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,57.7229,57.7229,57.7229,58.0722,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.8822,54.7262,57.7226,0,1,1,28,1,21,32,NA,NA,NA,NA,NA,1,2,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,61.0728,61.0728,61.0728,61.4219,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.522,58.0751,61.0726,0,2,2,78,1,95,31,NA,NA,NA,NA,NA,1,3,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,64.4234,64.4234,64.4235,64.7723,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6862,61.4237,64.4232,0,3,3,60,1,50,27,NA,NA,NA,NA,NA,1,4,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,67.7721,67.7724,67.7724,68.1223,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5182,64.7763,67.772,0,4,4,102,1,200,26,NA,NA,NA,NA,NA,1,5,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,71.1232,71.1233,71.1233,71.472,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1182,68.1255,71.1227,0,5,5,0,1,7,25,NA,NA,NA,NA,NA,1,6,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,74.4731,74.4733,74.4733,74.8226,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7853,71.4745,74.4728,0,6,6,61,1,50,30,NA,NA,NA,NA,NA,1,7,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,77.8222,77.8224,77.8226,78.1724,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5888,74.8256,77.8217,0,7,7,77,1,90,54,NA,NA,NA,NA,NA,1,8,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,81.1725,81.1727,81.1728,81.5221,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5292,78.176,81.1723,0,8,8,100,1,180,46,NA,NA,NA,NA,NA,1,9,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,84.5225,84.5226,84.5226,84.8722,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.541,81.5246,84.5223,0,9,9,34,1,25,35,NA,NA,NA,NA,NA,1,10,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,87.8728,87.8729,87.873,88.222,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6834,84.8753,87.8725,0,10,10,45,1,30,30,NA,NA,NA,NA,NA,1,11,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,91.223,91.2231,91.2231,91.5731,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7269,88.2254,91.2225,0,11,11,59,1,45,46,NA,NA,NA,NA,NA,1,12,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,94.5726,94.5728,94.5729,94.9225,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5037,91.5766,94.5724,0,12,12,40,1,28,39,NA,NA,NA,NA,NA,1,13,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,97.9233,97.9234,97.9234,98.2732,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.4614,94.9259,97.9231,0,13,13,107,1,200,54,NA,NA,NA,NA,NA,1,14,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,101.2725,101.2727,101.2728,101.6218,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6015,98.2767,101.2723,0,14,14,22,1,14,35,NA,NA,NA,NA,NA,1,15,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,104.6223,104.6225,104.6225,104.9719,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.4451,101.6253,104.6219,0,15,15,6,1,10,25,NA,NA,NA,NA,NA,1,16,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,107.9729,107.973,107.9733,108.3225,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5199,104.9756,107.9727,0,16,16,51,1,40,40,NA,NA,NA,NA,NA,1,17,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,111.3224,111.3226,111.3226,111.6725,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.219,108.3257,111.3222,0,17,17,24,1,21,26,NA,NA,NA,NA,NA,1,18,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,114.6727,114.6727,114.6728,115.0224,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.238,111.6755,114.6725,0,18,18,13,1,12,26,NA,NA,NA,NA,NA,1,19,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,118.0226,118.0226,118.0228,118.372,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6559,115.0259,118.0222,0,19,19,10,1,10,30,NA,NA,NA,NA,NA,1,20,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,121.373,121.3732,121.3732,121.7223,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6603,118.3755,121.3725,0,20,20,80,1,95,35,NA,NA,NA,NA,NA,1,21,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,124.7222,124.7222,124.7222,125.0717,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6856,121.7256,124.7219,0,21,21,66,1,60,29,NA,NA,NA,NA,NA,1,22,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,128.0728,128.0728,128.0728,128.4229,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6861,125.0751,128.0724,0,22,22,44,1,30,29,NA,NA,NA,NA,NA,1,23,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,131.4234,131.4236,131.4237,131.7722,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7356,128.4267,131.4232,0,23,23,98,1,180,35,NA,NA,NA,NA,NA,1,24,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,134.7725,134.7725,134.7725,135.1229,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5851,131.7757,134.7723,0,24,24,56,1,45,31,NA,NA,NA,NA,NA,1,25,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,138.1225,138.1225,138.1227,138.4719,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.4916,135.1263,138.1221,0,25,25,3,1,7,30,NA,NA,NA,NA,NA,1,26,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,141.4728,141.4728,141.4729,141.8228,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6336,138.4752,141.4722,0,26,26,97,1,180,31,NA,NA,NA,NA,NA,1,27,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,144.8234,144.8235,144.8235,145.1737,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6131,141.8259,144.8232,0,27,27,15,1,12,31,NA,NA,NA,NA,NA,1,28,"binary"
"FD2A6686546A4D689BE4A684CD264636",1,"0198ecee-3bda-772b-bf84-84e2073f57f3","0198c47e-224f-7cc7-87e7-f5ab0011d1ce","2025-08-27_15h08.36.491",NA,NA,148.1728,148.1728,148.1729,148.5229,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.5198,145.1772,148.1726,0,28,28,106,1,200,47,NA,NA,NA,NA,NA,1,29,"binary"
