"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",80.1721,82.55,82.5517,82.8,82.8001,82.9,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",82.905,85.8987,85.8989,85.899,85.899,86.2497,0,1,1,2,1,14,45,TRUE,2,1.3974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",86.2523,89.2498,89.2501,89.2502,89.2502,89.5997,0,2,2,0,1,7,30,TRUE,2,1.8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",89.6022,92.5997,92.6,92.6001,92.6001,92.9496,0,3,3,1,1,100,50,TRUE,2,1.3013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",92.9522,95.9498,95.95,96.1997,96.1997,96.2989,0,4,4,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,150.1669,150.1672,150.1672,150.5163,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5626,147.1888,150.1665,0,0,0,101,1,180,54,NA,NA,NA,NA,NA,1,1,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,153.5165,153.5165,153.5165,153.8663,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3302,150.5182,153.5163,0,1,1,97,1,180,31,NA,NA,NA,NA,NA,1,2,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,156.8661,156.8661,156.8662,157.2163,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4856,153.868,156.866,0,2,2,84,1,100,26,NA,NA,NA,NA,NA,1,3,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,160.2155,160.2157,160.2157,160.5657,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.093,157.2183,160.2154,0,3,3,79,1,95,33,NA,NA,NA,NA,NA,1,4,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,163.5664,163.5664,163.5664,163.9162,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3105,160.5676,163.5662,0,4,4,25,1,21,27,NA,NA,NA,NA,NA,1,5,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,166.9164,166.9165,166.9165,167.2663,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1256,163.9181,166.9163,0,5,5,7,1,10,26,NA,NA,NA,NA,NA,1,6,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,170.2651,170.2651,170.2651,170.6162,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1977,167.2682,170.265,0,6,6,94,1,150,47,NA,NA,NA,NA,NA,1,7,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,173.6164,173.6165,173.6166,173.9663,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.0725,170.618,173.6163,0,7,7,70,1,60,47,NA,NA,NA,NA,NA,1,8,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,176.9654,176.9654,176.9654,177.3156,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2484,173.9681,176.9653,0,8,8,11,1,10,32,NA,NA,NA,NA,NA,1,9,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,180.3164,180.3165,180.3166,180.6662,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3155,177.3173,180.3162,0,9,9,30,1,25,27,NA,NA,NA,NA,NA,1,10,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,183.6664,183.6664,183.6665,184.0162,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6695,180.6679,183.6663,0,10,10,27,1,21,30,NA,NA,NA,NA,NA,1,11,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,187.0163,187.0164,187.0164,187.3661,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0198,184.018,187.0163,0,11,11,75,1,90,40,NA,NA,NA,NA,NA,1,12,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,190.3665,190.3665,190.3665,190.7163,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9822,187.3679,190.3663,0,12,12,72,1,90,26,NA,NA,NA,NA,NA,1,13,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,193.7165,193.7165,193.7165,194.0663,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.0031,190.7183,193.7164,0,13,13,41,1,28,46,NA,NA,NA,NA,NA,1,14,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,197.0665,197.0665,197.0665,197.4158,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2125,194.0679,197.0663,0,14,14,81,1,95,40,NA,NA,NA,NA,NA,1,15,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,200.4164,200.4165,200.4165,200.7655,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.9,197.4175,200.4162,0,15,15,63,1,50,40,NA,NA,NA,NA,NA,1,16,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,203.7665,203.7665,203.7666,204.1153,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.4208,200.7673,203.7663,0,16,16,59,1,45,46,NA,NA,NA,NA,NA,1,17,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,207.1162,207.1162,207.1162,207.4662,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0636,204.1171,207.116,0,17,17,13,1,12,26,NA,NA,NA,NA,NA,1,18,"binary"
"FE82391208714D90B59CBCF927ECE95B",1,"01990a99-8aa9-7d37-9d5c-eef591330ef8","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_08h25.20.939",NA,NA,210.4652,210.4652,210.4653,210.8163,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1529,207.4679,210.4652,0,18,18,99,1,180,39,NA,NA,NA,NA,NA,1,19,"binary"
