"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",26.04,29.004,29.004,29.005,29.005,29.391,0,0,0,4,1,30,40,TRUE,1,1.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",29.393,32.282,32.282,32.282,32.282,32.669,0,1,1,1,1,100,50,TRUE,1,2.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",32.677,35.733,35.733,35.736,35.736,35.976,0,2,2,3,1,3,27,TRUE,1,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",35.978,39.045,39.046,39.046,39.046,39.44,0,3,3,2,1,14,45,TRUE,2,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",39.447,42.427,42.428,42.428,42.428,42.679,0,4,4,0,1,7,30,TRUE,2,2.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",NA,NA,265.336,265.336,265.336,265.748,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.623,262.403,265.336,0,0,0,79,1,95,33,NA,NA,NA,NA,NA,1,1,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",NA,NA,268.684,268.684,268.684,269.077,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.075,265.755,268.683,0,1,1,60,1,50,27,NA,NA,NA,NA,NA,1,2,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",NA,NA,272.095,272.095,272.095,272.395,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.879,269.085,272.095,0,2,2,4,1,7,32,NA,NA,NA,NA,NA,1,3,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",NA,NA,275.455,275.455,275.455,275.75,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.955,272.397,275.454,0,3,3,10,1,10,30,NA,NA,NA,NA,NA,1,4,"binary"
"4FE4DC6A565546AFB07A0159DCA5FCA7",1,"01990aa6-0d22-70ef-854d-25b999ac2f9e","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_07h12.25.368",NA,NA,278.776,278.776,278.776,279.086,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.047,275.758,278.776,0,4,4,67,1,60,33,NA,NA,NA,NA,NA,1,5,"binary"
