"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",35.2931,38.2502,38.2514,38.4988,38.4989,38.5989,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",38.6039,41.6062,41.6065,41.6066,41.6066,41.955,0,1,1,3,1,3,27,TRUE,1,1.4134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",41.9578,44.9613,44.9613,44.9614,44.9614,45.311,0,2,2,0,1,7,30,TRUE,1,2.0471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",45.3141,48.3009,48.301,48.301,48.301,48.6506,0,3,3,2,1,14,45,TRUE,1,1.9549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",48.6537,51.6575,51.6577,51.6578,51.6578,52.0062,0,4,4,1,1,100,50,TRUE,1,1.9444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,83.7231,83.7233,83.7233,84.0718,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.3689,80.7444,83.7226,0,0,0,60,1,50,27,NA,NA,NA,NA,NA,1,1,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,87.0792,87.0793,87.0793,87.4275,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1943,84.0757,87.079,0,1,1,84,1,100,26,NA,NA,NA,NA,NA,1,2,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,90.435,90.4351,90.4351,90.7836,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0383,87.43,90.4348,0,2,2,28,1,21,32,NA,NA,NA,NA,NA,1,3,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,93.7744,93.7745,93.7745,94.1224,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.073,90.7876,93.7742,0,3,3,98,1,180,35,NA,NA,NA,NA,NA,1,4,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,97.1305,97.1306,97.1306,97.4787,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0002,94.1234,97.1303,0,4,4,37,1,28,28,NA,NA,NA,NA,NA,1,5,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,100.4701,100.4702,100.4702,100.8355,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6691,97.4815,100.4699,0,5,5,72,1,90,26,NA,NA,NA,NA,NA,1,6,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,103.8256,103.8257,103.8257,104.1748,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.4751,100.838,103.8254,0,6,6,17,1,12,35,NA,NA,NA,NA,NA,1,7,"binary"
"A6CFEF7F0113442BBCFAEEF1003DD55B",1,"0198f781-6d82-7e0d-b8f2-dc6e3afddbc8","0198f767-55c9-7875-8d21-563b3c0b86ed","2025-08-29_16h25.34.701",NA,NA,107.1819,107.182,107.1821,107.5305,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7814,104.1776,107.1818,0,7,7,65,1,50,54,NA,NA,NA,NA,NA,1,8,"binary"
