"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",37.1389,40.0172,40.0192,40.2669,40.2675,40.371,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",40.3741,43.371,43.3713,43.3713,43.3714,43.7243,0,1,1,0,1,7,30,TRUE,2,1.1668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",43.7274,46.7239,46.7243,46.7244,46.7245,47.0779,0,2,2,4,1,30,40,TRUE,4,0.0905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",47.0811,50.0781,50.0784,50.0785,50.0785,50.4113,0,3,3,2,1,14,45,TRUE,4,0.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",50.4141,53.4308,53.431,53.431,53.4311,53.765,0,4,4,1,1,100,50,TRUE,5,1.4698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,81.8932,81.8933,81.8935,82.2404,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.0838,78.9592,81.8928,0,0,0,52,1,40,47,NA,NA,NA,NA,NA,1,1,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,85.2417,85.242,85.2422,85.5735,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5017,82.2435,85.2409,0,1,1,94,1,150,47,NA,NA,NA,NA,NA,1,2,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,88.5727,88.5727,88.5727,88.9272,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.1314,85.5789,88.5726,0,2,2,20,1,14,28,NA,NA,NA,NA,NA,1,3,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,91.9334,91.9334,91.9335,92.2818,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.078,88.9313,91.9331,0,3,3,27,1,21,30,NA,NA,NA,NA,NA,1,4,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,95.2829,95.2835,95.2836,95.6356,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.959,92.2866,95.2816,0,4,4,36,1,28,26,NA,NA,NA,NA,NA,1,5,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,98.6367,98.637,98.637,98.9893,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.0446,95.6399,98.6363,0,5,5,2,1,7,28,NA,NA,NA,NA,NA,1,6,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,101.9765,101.9767,101.9767,102.343,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.0332,98.9928,101.9762,0,6,6,32,1,25,31,NA,NA,NA,NA,NA,1,7,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,105.3231,105.324,105.3241,105.6762,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.0904,102.3474,105.3224,0,7,7,71,1,60,54,NA,NA,NA,NA,NA,1,8,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,108.6769,108.6772,108.6773,109.0301,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.0442,105.681,108.6761,0,8,8,37,1,28,28,NA,NA,NA,NA,NA,1,9,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,112.0309,112.0313,112.0314,112.3835,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.0087,109.0332,112.0301,0,9,9,51,1,40,40,NA,NA,NA,NA,NA,1,10,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,115.3849,115.385,115.3852,115.7369,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.0017,112.3877,115.3841,0,10,10,13,1,12,26,NA,NA,NA,NA,NA,1,11,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,118.7386,118.7389,118.7391,119.0919,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.1069,115.7413,118.7376,0,11,11,102,1,200,26,NA,NA,NA,NA,NA,1,12,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,122.0916,122.092,122.0922,122.4249,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.0144,119.0967,122.0909,0,12,12,86,1,100,38,NA,NA,NA,NA,NA,1,13,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,125.4248,125.4249,125.425,125.7784,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.2571,122.4303,125.4241,0,13,13,9,1,10,29,NA,NA,NA,NA,NA,1,14,"likert"
"026B393D91B54690840BE16795BF9EC4",1,"01990a98-5d9b-7704-b4ab-e7b48c8dc764","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_14h44.34.729",NA,NA,128.7787,128.7789,128.779,129.1312,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.337,125.7829,128.778,0,14,14,97,1,180,31,NA,NA,NA,NA,NA,1,15,"likert"
