"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",35.8577,38.8328,38.8342,39.0826,39.0829,39.1828,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",39.1849,42.1825,42.1828,42.1828,42.1828,42.5324,0,1,1,4,1,30,40,TRUE,5,0.0715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",42.5341,45.5327,45.533,45.533,45.5331,45.8824,0,2,2,3,1,3,27,TRUE,5,1.9609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",45.8842,48.8826,48.8828,48.8828,48.8829,49.2324,0,3,3,2,1,14,45,TRUE,5,1.4783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",49.2343,52.2325,52.2328,52.2328,52.2328,52.5815,0,4,4,1,1,100,50,TRUE,4,1.5744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",NA,NA,71.6168,71.617,71.6171,71.966,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.335,68.6337,71.6162,0,0,0,68,1,60,35,NA,NA,NA,NA,NA,1,1,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",NA,NA,74.966,74.9661,74.9662,75.3159,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.3071,71.9681,74.9659,0,1,1,104,1,200,35,NA,NA,NA,NA,NA,1,2,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",NA,NA,78.3163,78.3163,78.3164,78.666,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.216,75.3176,78.316,0,2,2,35,1,25,46,NA,NA,NA,NA,NA,1,3,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",NA,NA,81.6662,81.6663,81.6663,82.0159,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.9064,78.6678,81.6659,0,3,3,39,1,28,35,NA,NA,NA,NA,NA,1,4,"likert"
"0DBC3464746741DAB3C986C1917EE3BA",1,"0198f77e-ace9-7e9c-b88f-f7a115ebd675","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.37.297",NA,NA,85.0161,85.0163,85.0163,85.3659,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.0401,82.0175,85.016,0,4,4,43,1,30,27,NA,NA,NA,NA,NA,1,5,"likert"
