"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",20.7361,23.7258,23.7261,23.976,23.9761,24.0757,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",24.0765,27.0755,27.0756,27.0756,27.0756,27.4257,0,1,1,1,1,100,50,TRUE,5,1.5278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",27.4269,30.4258,30.4258,30.4258,30.4258,30.7757,0,2,2,0,1,7,30,TRUE,5,1.3938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",30.7767,33.7756,33.7758,33.7758,33.7758,34.1257,0,3,3,4,1,30,40,TRUE,5,1.0709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",34.1264,37.1258,37.1258,37.1258,37.1258,37.4756,0,4,4,3,1,3,27,TRUE,5,0.6611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,71.1092,71.1092,71.1092,71.459,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.4467,68.116,71.1091,0,0,0,42,1,30,26,NA,NA,NA,NA,NA,1,1,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,74.459,74.459,74.459,74.8091,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.4804,71.4597,74.4589,0,1,1,98,1,180,35,NA,NA,NA,NA,NA,1,2,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,77.8089,77.8089,77.8089,78.159,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5878,74.8096,77.8088,0,2,2,72,1,90,26,NA,NA,NA,NA,NA,1,3,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,81.1591,81.1591,81.1591,81.5089,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.4158,78.1595,81.159,0,3,3,50,1,40,35,NA,NA,NA,NA,NA,1,4,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,84.5093,84.5093,84.5093,84.8588,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0409,81.5093,84.5092,0,4,4,20,1,14,28,NA,NA,NA,NA,NA,1,5,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,87.8592,87.8592,87.8592,88.2089,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.472,84.8592,87.8591,0,5,5,6,1,10,25,NA,NA,NA,NA,NA,1,6,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,91.2094,91.2094,91.2094,91.559,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0058,88.2094,91.2093,0,6,6,21,1,14,32,NA,NA,NA,NA,NA,1,7,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,94.5592,94.5592,94.5592,94.9091,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7394,91.5593,94.5591,0,7,7,97,1,180,31,NA,NA,NA,NA,NA,1,8,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,97.9091,97.9091,97.9091,98.2588,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6816,94.9094,97.909,0,8,8,24,1,21,26,NA,NA,NA,NA,NA,1,9,"likert"
"0DFD507CA7284410A8B1C760D7710E23",1,"0198eced-dd93-7f74-8cc9-13974deff97f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h08.16.319",NA,NA,101.259,101.259,101.259,101.609,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1002,98.2593,101.259,0,9,9,32,1,25,31,NA,NA,NA,NA,NA,1,10,"likert"
