"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",17.708,20.696,20.696,20.945,20.945,21.046,0,0,0,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",21.047,24.046,24.046,24.046,24.046,24.396,0,1,1,3,1,3,27,TRUE,5,2.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",24.397,27.396,27.396,27.396,27.396,27.746,0,2,2,4,1,30,40,TRUE,5,1.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",27.747,30.746,30.746,30.747,30.747,31.096,0,3,3,2,1,14,45,TRUE,5,2.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",31.097,34.096,34.096,34.096,34.097,34.446,0,4,4,1,1,100,50,TRUE,1,2.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,52.796,52.796,52.797,53.147,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.119,49.809,52.796,0,0,0,88,1,100,46,NA,NA,NA,NA,NA,1,1,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,56.147,56.147,56.147,56.496,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.337,53.147,56.147,0,1,1,50,1,40,35,NA,NA,NA,NA,NA,1,2,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,59.497,59.497,59.497,59.847,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.052,56.497,59.496,0,2,2,76,1,90,46,NA,NA,NA,NA,NA,1,3,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,62.847,62.847,62.847,63.197,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.818,59.847,62.847,0,3,3,83,1,95,54,NA,NA,NA,NA,NA,1,4,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,66.197,66.198,66.198,66.546,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.012,63.197,66.197,0,4,4,104,1,200,35,NA,NA,NA,NA,NA,1,5,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,69.548,69.548,69.548,69.897,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.602,66.547,69.547,0,5,5,8,1,10,27,NA,NA,NA,NA,NA,1,6,"likert"
"17303E18C2A14A0ABC2D2DCB050E05CF",1,"0198f77e-6b63-7893-a5ee-ed6c788445da","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_16h22.17.698",NA,NA,72.897,72.897,72.897,73.247,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.313,69.901,72.897,0,6,6,41,1,28,46,NA,NA,NA,NA,NA,1,7,"likert"
