"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",15.6064,18.5892,18.5906,18.8341,18.8343,18.9345,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",18.938,21.933,21.9339,21.9341,21.9341,22.2881,0,1,1,4,1,30,40,TRUE,1,1.6724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",22.2906,25.2833,25.2841,25.2843,25.2845,25.6374,0,2,2,3,1,3,27,TRUE,1,1.3602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",25.6394,28.6341,28.6347,28.6349,28.6349,28.9825,0,3,3,2,1,14,45,TRUE,5,2.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",28.9861,31.9833,31.9836,31.9837,31.9839,32.3318,0,4,4,0,1,7,30,TRUE,1,1.5835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,57.8647,57.8649,57.8649,58.2156,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2758,54.8919,57.8641,0,0,0,6,1,10,25,NA,NA,NA,NA,NA,1,1,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,61.215,61.2152,61.2153,61.5647,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8014,58.2189,61.2145,0,1,1,1,1,7,26,NA,NA,NA,NA,NA,1,2,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,64.5639,64.5639,64.5639,64.9147,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6612,61.5665,64.5637,0,2,2,107,1,200,54,NA,NA,NA,NA,NA,1,3,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,67.9151,67.9153,67.9153,68.2645,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.5282,64.9166,67.9147,0,3,3,56,1,45,31,NA,NA,NA,NA,NA,1,4,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,71.2645,71.2648,71.2648,71.6144,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7617,68.2663,71.2642,0,4,4,53,1,40,54,NA,NA,NA,NA,NA,1,5,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,74.6144,74.6144,74.6144,74.9639,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1308,71.6162,74.614,0,5,5,42,1,30,26,NA,NA,NA,NA,NA,1,6,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,77.964,77.9641,77.9641,78.3137,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7997,74.9659,77.9636,0,6,6,52,1,40,47,NA,NA,NA,NA,NA,1,7,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,81.3196,81.3197,81.3199,81.6696,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3416,78.316,81.3194,0,7,7,22,1,14,35,NA,NA,NA,NA,NA,1,8,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,84.6683,84.6684,84.6684,85.0137,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.978,81.6718,84.668,0,8,8,95,1,150,54,NA,NA,NA,NA,NA,1,9,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,88.0141,88.2634,88.2635,88.3669,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,85.0168,88.0135,0,9,9,55,1,45,29,NA,NA,NA,NA,NA,1,10,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,91.3534,91.3536,91.3536,91.7172,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1754,88.3682,91.3532,0,10,10,105,1,200,39,NA,NA,NA,NA,NA,1,11,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,94.7137,94.7137,94.7138,95.0686,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9302,91.7194,94.7133,0,11,11,31,1,25,29,NA,NA,NA,NA,NA,1,12,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,98.0665,98.0668,98.0668,98.4123,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.3881,95.0714,98.0663,0,12,12,14,1,12,28,NA,NA,NA,NA,NA,1,13,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,101.4127,101.4127,101.4127,101.7627,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.352,98.4139,101.4121,0,13,13,36,1,28,26,NA,NA,NA,NA,NA,1,14,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,104.7629,104.763,104.763,105.1136,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.755,101.7654,104.7626,0,14,14,15,1,12,31,NA,NA,NA,NA,NA,1,15,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,108.1135,108.1135,108.1135,108.4621,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5905,105.1157,108.113,0,15,15,35,1,25,46,NA,NA,NA,NA,NA,1,16,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,111.4633,111.4633,111.4634,111.8168,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.8871,108.4646,111.4622,0,16,16,27,1,21,30,NA,NA,NA,NA,NA,1,17,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,114.8149,114.8149,114.815,115.1624,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8661,111.8187,114.8147,0,17,17,67,1,60,33,NA,NA,NA,NA,NA,1,18,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,118.1628,118.163,118.1634,118.5126,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.0768,115.1646,118.1624,0,18,18,75,1,90,40,NA,NA,NA,NA,NA,1,19,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,121.5138,121.5142,121.5142,121.8623,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9981,118.5143,121.5136,0,19,19,19,1,14,26,NA,NA,NA,NA,NA,1,20,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,124.8655,124.8657,124.8657,125.2122,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3015,121.8631,124.8652,0,20,20,20,1,14,28,NA,NA,NA,NA,NA,1,21,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,128.212,128.2121,128.2121,128.5604,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2482,125.2149,128.2117,0,21,21,91,1,150,33,NA,NA,NA,NA,NA,1,22,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,131.5608,131.5608,131.5608,131.9108,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7349,128.5627,131.5604,0,22,22,102,1,200,26,NA,NA,NA,NA,NA,1,23,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,134.9114,134.9114,134.9114,135.2605,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.6136,131.9131,134.9111,0,23,23,25,1,21,27,NA,NA,NA,NA,NA,1,24,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,138.2609,138.261,138.261,138.6101,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7815,135.2625,138.2606,0,24,24,16,1,12,33,NA,NA,NA,NA,NA,1,25,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,141.612,141.612,141.612,141.9597,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9334,138.6119,141.6118,0,25,25,63,1,50,40,NA,NA,NA,NA,NA,1,26,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,144.9616,144.9617,144.9617,145.3104,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9005,141.961,144.9607,0,26,26,47,1,30,38,NA,NA,NA,NA,NA,1,27,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,148.3098,148.3098,148.3099,148.6592,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7829,145.3125,148.3097,0,27,27,49,1,40,33,NA,NA,NA,NA,NA,1,28,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,151.6599,151.66,151.66,152.011,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1845,148.6602,151.6594,0,28,28,43,1,30,27,NA,NA,NA,NA,NA,1,29,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,155.0102,155.0102,155.0102,155.3599,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1772,152.0147,155.0099,0,29,29,73,1,90,30,NA,NA,NA,NA,NA,1,30,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,158.36,158.6093,158.6095,158.7095,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,155.3617,158.3598,0,30,30,62,1,50,35,NA,NA,NA,NA,NA,1,31,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,161.7099,161.7099,161.7099,162.0588,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0127,158.7107,161.7097,0,31,31,72,1,90,26,NA,NA,NA,NA,NA,1,32,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,165.0597,165.31,165.3101,165.4098,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,162.0603,165.0594,0,32,32,66,1,60,29,NA,NA,NA,NA,NA,1,33,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,168.4099,168.4101,168.4102,168.7609,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7982,165.4122,168.4094,0,33,33,30,1,25,27,NA,NA,NA,NA,NA,1,34,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,171.7589,171.7589,171.7589,172.1118,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8354,168.7618,171.7588,0,34,34,87,1,100,39,NA,NA,NA,NA,NA,1,35,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,175.1081,175.1082,175.1082,175.46,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7332,172.1139,175.1081,0,35,35,37,1,28,28,NA,NA,NA,NA,NA,1,36,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,178.4602,178.4602,178.4603,178.8089,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.234,175.4624,178.46,0,36,36,77,1,90,54,NA,NA,NA,NA,NA,1,37,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,181.8081,181.8082,181.8082,182.1591,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.7524,178.8107,181.8081,0,37,37,98,1,180,35,NA,NA,NA,NA,NA,1,38,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,185.1592,185.1592,185.1592,185.5084,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.5472,182.161,185.1589,0,38,38,59,1,45,46,NA,NA,NA,NA,NA,1,39,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,188.5095,188.5095,188.5095,188.8577,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2485,185.5109,188.5092,0,39,39,84,1,100,26,NA,NA,NA,NA,NA,1,40,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,191.8579,191.8579,191.858,192.2087,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.5562,188.8591,191.8578,0,40,40,39,1,28,35,NA,NA,NA,NA,NA,1,41,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,195.2087,195.2088,195.2088,195.5581,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8021,192.2109,195.2084,0,41,41,78,1,95,31,NA,NA,NA,NA,NA,1,42,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,198.5588,198.5589,198.5589,198.9075,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1969,195.5613,198.5586,0,42,42,23,1,14,39,NA,NA,NA,NA,NA,1,43,"likert"
"18CEC8E96DFC47398974230F954424D7",1,"01990ad8-8904-7c10-8422-d3105a47ee90","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_10h33.39.378",NA,NA,201.9073,201.9074,201.9074,202.2578,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.636,198.9092,201.9072,0,43,43,45,1,30,30,NA,NA,NA,NA,NA,1,44,"likert"
