"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",82.2736,85.2498,85.2512,85.4953,85.4956,85.5949,0,0,0,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",85.5974,88.5944,88.5946,88.5946,88.5947,88.9446,0,1,1,4,1,30,40,TRUE,1,0.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",88.9459,91.9446,91.9448,91.9448,91.9448,92.2946,0,2,2,0,1,7,30,TRUE,1,2.1751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",92.2966,95.2943,95.2945,95.2945,95.2945,95.6442,0,3,3,1,1,100,50,TRUE,4,2.5419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",95.6454,98.6439,98.6441,98.6441,98.6441,98.9936,0,4,4,2,1,14,45,TRUE,1,1.7174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",NA,NA,129.2405,129.2405,129.2406,129.5904,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3011,126.253,129.2403,0,0,0,6,1,10,25,NA,NA,NA,NA,NA,1,1,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",NA,NA,132.5902,132.5903,132.5903,132.9396,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0474,129.5918,132.5901,0,1,1,91,1,150,33,NA,NA,NA,NA,NA,1,2,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",NA,NA,135.9395,135.9395,135.9395,136.2896,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2339,132.9407,135.9394,0,2,2,28,1,21,32,NA,NA,NA,NA,NA,1,3,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",NA,NA,139.2893,139.2894,139.2894,139.639,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6611,136.2914,139.2891,0,3,3,68,1,60,35,NA,NA,NA,NA,NA,1,4,"likert"
"1C51D2A52C004D2196F28D04A14A70A6",1,"01990a9a-4dd8-7c35-bcf9-828173ce821a","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h25.58.743",NA,NA,142.639,142.639,142.639,142.9884,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6196,139.6403,142.6388,0,4,4,105,1,200,39,NA,NA,NA,NA,NA,1,5,"likert"
