"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",27.072,30.0546,30.0551,30.3047,30.3048,30.4045,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",30.4058,33.4046,33.4048,33.6549,33.6549,33.7546,0,1,1,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",33.756,36.7548,36.755,36.7551,36.7551,37.1046,0,2,2,2,1,14,45,TRUE,5,0.8527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",37.1056,40.1044,40.1045,40.1045,40.1046,40.4543,0,3,3,1,1,100,50,TRUE,5,1.5749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",40.4549,43.4336,43.434,43.7046,43.7046,43.8054,0,4,4,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",NA,NA,72.0222,72.0222,72.0223,72.3712,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7367,69.0396,72.0217,0,0,0,28,1,21,32,NA,NA,NA,NA,NA,1,1,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",NA,NA,75.3715,75.3716,75.3716,75.7211,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.6335,72.3726,75.3712,0,1,1,20,1,14,28,NA,NA,NA,NA,NA,1,2,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",NA,NA,78.7231,78.7231,78.7231,79.0718,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.1355,75.7231,78.723,0,2,2,16,1,12,33,NA,NA,NA,NA,NA,1,3,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",NA,NA,82.0719,82.0719,82.0719,82.4218,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.7174,79.0728,82.0718,0,3,3,57,1,45,35,NA,NA,NA,NA,NA,1,4,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",NA,NA,85.4249,85.425,85.425,85.7713,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.9007,82.4229,85.4247,0,4,4,1,1,7,26,NA,NA,NA,NA,NA,1,5,"likert"
"1F6D14219DB14F748F80AE9837CEEDF0",1,"0198eced-5950-78fb-b96d-a9e709e205ba","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h07.36.709",NA,NA,88.7718,88.7719,88.7719,89.1212,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.8629,85.7724,88.7716,0,5,5,48,1,40,27,NA,NA,NA,NA,NA,1,6,"likert"
