"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",22.4364,25.4184,25.4205,25.6683,25.6685,25.7684,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",25.7711,28.7554,28.7559,28.756,28.7561,29.1052,0,1,1,4,1,30,40,TRUE,4,1.8463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",29.1079,32.1086,32.1087,32.1088,32.1088,32.459,0,2,2,0,1,7,30,TRUE,1,1.0558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",32.4613,35.4624,35.4625,35.4626,35.4626,35.8128,0,3,3,3,1,3,27,TRUE,1,1.5191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",35.8151,38.8159,38.8162,38.8163,38.8163,39.1664,0,4,4,1,1,100,50,TRUE,2,1.9395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,61.341,61.341,61.3412,61.6913,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0912,58.3534,61.3408,0,0,0,61,1,50,30,NA,NA,NA,NA,NA,1,1,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,64.6779,64.6779,64.6779,65.0281,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0637,61.6918,64.6778,0,1,1,62,1,50,35,NA,NA,NA,NA,NA,1,2,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,68.0316,68.0316,68.0316,68.3818,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8138,65.029,68.0315,0,2,2,88,1,100,46,NA,NA,NA,NA,NA,1,3,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,71.3852,71.3852,71.3852,71.7355,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2811,68.3827,71.3852,0,3,3,2,1,7,28,NA,NA,NA,NA,NA,1,4,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,74.7389,74.7389,74.739,75.0891,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1645,71.7362,74.7387,0,4,4,16,1,12,33,NA,NA,NA,NA,NA,1,5,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,78.076,78.076,78.076,78.4263,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8468,75.0898,78.0759,0,5,5,45,1,30,30,NA,NA,NA,NA,NA,1,6,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,81.4295,81.4295,81.4296,81.7799,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9895,78.4274,81.4294,0,6,6,105,1,200,39,NA,NA,NA,NA,NA,1,7,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,84.7833,84.7834,84.7835,85.1335,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8518,81.7805,84.7833,0,7,7,27,1,21,30,NA,NA,NA,NA,NA,1,8,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,88.137,88.137,88.137,88.4872,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5145,85.1341,88.1369,0,8,8,99,1,180,39,NA,NA,NA,NA,NA,1,9,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,91.4907,91.4908,91.4908,91.8409,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8748,88.4877,91.4906,0,9,9,59,1,45,46,NA,NA,NA,NA,NA,1,10,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,94.8277,94.8277,94.8277,95.1779,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0469,91.8416,94.8277,0,10,10,1,1,7,26,NA,NA,NA,NA,NA,1,11,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,98.1813,98.1813,98.1813,98.5316,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5848,95.1785,98.1812,0,11,11,3,1,7,30,NA,NA,NA,NA,NA,1,12,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,101.5349,101.5349,101.535,101.8853,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0583,98.5325,101.5349,0,12,12,65,1,50,54,NA,NA,NA,NA,NA,1,13,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,104.8886,104.8886,104.8887,105.2391,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.1571,101.8873,104.8886,0,13,13,49,1,40,33,NA,NA,NA,NA,NA,1,14,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,108.226,108.226,108.2261,108.5759,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2552,105.2416,108.2257,0,14,14,14,1,12,28,NA,NA,NA,NA,NA,1,15,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,111.5798,111.5799,111.5799,111.9296,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3718,108.578,111.5794,0,15,15,37,1,28,28,NA,NA,NA,NA,NA,1,16,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,114.933,114.933,114.933,115.2834,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6528,111.9316,114.933,0,16,16,10,1,10,30,NA,NA,NA,NA,NA,1,17,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,118.287,118.2871,118.2871,118.6371,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.7575,115.2858,118.2867,0,17,17,35,1,25,46,NA,NA,NA,NA,NA,1,18,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,121.6406,121.6408,121.6408,121.9909,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9074,118.6391,121.6404,0,18,18,79,1,95,33,NA,NA,NA,NA,NA,1,19,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,124.9774,124.9774,124.9775,125.3277,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9676,121.9933,124.9773,0,19,19,13,1,12,26,NA,NA,NA,NA,NA,1,20,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,128.3314,128.3315,128.3315,128.6814,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9875,125.3297,128.3312,0,20,20,78,1,95,31,NA,NA,NA,NA,NA,1,21,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,131.6852,131.6852,131.6853,132.035,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3061,128.6839,131.6848,0,21,21,96,1,180,27,NA,NA,NA,NA,NA,1,22,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,135.0387,135.0389,135.039,135.3887,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5922,132.0376,135.0384,0,22,22,101,1,180,54,NA,NA,NA,NA,NA,1,23,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,138.3755,138.3755,138.3756,138.7257,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1628,135.3907,138.3754,0,23,23,42,1,30,26,NA,NA,NA,NA,NA,1,24,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,141.7293,141.7294,141.7294,142.0795,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2186,138.7277,141.7291,0,24,24,81,1,95,40,NA,NA,NA,NA,NA,1,25,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,145.0828,145.0828,145.0828,145.4331,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3363,142.0817,145.0827,0,25,25,74,1,90,33,NA,NA,NA,NA,NA,1,26,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,148.4365,148.4365,148.4365,148.7869,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0029,145.4353,148.4365,0,26,26,18,1,14,25,NA,NA,NA,NA,NA,1,27,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,151.7902,151.7903,151.7903,152.1405,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.2625,148.7893,151.7901,0,27,27,41,1,28,46,NA,NA,NA,NA,NA,1,28,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,155.1277,155.1277,155.1277,155.4774,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.9209,152.1428,155.1274,0,28,28,83,1,95,54,NA,NA,NA,NA,NA,1,29,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,158.4808,158.4808,158.4808,158.8311,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1196,155.4792,158.4808,0,29,29,20,1,14,28,NA,NA,NA,NA,NA,1,30,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,161.8347,161.8348,161.8348,162.1849,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3186,158.8329,161.8346,0,30,30,26,1,21,29,NA,NA,NA,NA,NA,1,31,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,165.1883,165.1883,165.1883,165.5385,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2546,162.1868,165.1882,0,31,31,7,1,10,26,NA,NA,NA,NA,NA,1,32,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,168.5254,168.5255,168.5256,168.8756,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5205,165.5407,168.5252,0,32,32,73,1,90,30,NA,NA,NA,NA,NA,1,33,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,171.8792,171.8792,171.8792,172.2291,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.0531,168.8779,171.8789,0,33,33,9,1,10,29,NA,NA,NA,NA,NA,1,34,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,175.2329,175.2329,175.2329,175.5831,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2239,172.231,175.2327,0,34,34,24,1,21,26,NA,NA,NA,NA,NA,1,35,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,178.5866,178.5866,178.5867,178.9366,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.5769,175.5853,178.5864,0,35,35,57,1,45,35,NA,NA,NA,NA,NA,1,36,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,181.9401,181.9403,181.9403,182.2903,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.6043,178.9388,181.9398,0,36,36,52,1,40,47,NA,NA,NA,NA,NA,1,37,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,185.2772,185.2773,185.2773,185.6273,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9065,182.2922,185.277,0,37,37,84,1,100,26,NA,NA,NA,NA,NA,1,38,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,188.6309,188.631,188.631,188.9809,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.9684,185.6293,188.6307,0,38,38,55,1,45,29,NA,NA,NA,NA,NA,1,39,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,191.9843,191.9843,191.9843,192.3348,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.068,188.9837,191.9843,0,39,39,0,1,7,25,NA,NA,NA,NA,NA,1,40,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,195.3382,195.3382,195.3383,195.6884,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0.8861,192.3371,195.3379,0,40,40,48,1,40,27,NA,NA,NA,NA,NA,1,41,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,198.6754,198.6755,198.6755,199.0254,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.1805,195.6907,198.6752,0,41,41,29,1,21,38,NA,NA,NA,NA,NA,1,42,"likert"
"1F8FAFCF5442455CAF4C9CFF8620AB7E",1,"0198f77d-0caf-714c-bd50-e924762dae4f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h20.40.118",NA,NA,202.0287,202.0287,202.0288,202.3791,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.1528,199.0273,202.0287,0,42,42,47,1,30,38,NA,NA,NA,NA,NA,1,43,"likert"
