"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",712.485,715.349,715.357,715.661,715.662,715.812,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",715.813,718.794,718.794,718.794,718.794,719.094,0,1,1,3,1,3,27,TRUE,3,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",719.095,722.061,722.061,722.365,722.365,722.511,0,2,2,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",722.519,725.398,725.399,725.399,725.399,725.839,0,3,3,4,1,30,40,TRUE,1,0.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",725.84,728.861,728.861,729.008,729.008,729.16,0,4,4,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",NA,NA,817.94,817.94,817.94,818.298,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.835,814.968,817.94,0,0,0,10,1,10,30,NA,NA,NA,NA,NA,1,1,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",NA,NA,821.233,821.233,821.233,821.59,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.182,818.299,821.233,0,1,1,61,1,50,30,NA,NA,NA,NA,NA,1,2,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",NA,NA,824.649,824.891,824.891,825.006,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,821.598,824.648,0,2,2,68,1,60,35,NA,NA,NA,NA,NA,1,3,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",NA,NA,827.96,827.96,827.96,828.323,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.67,825.014,827.96,0,3,3,58,1,45,40,NA,NA,NA,NA,NA,1,4,"likert"
"1F9B17C1B86646F4AAA96705205F46AE",1,"01990a98-c9a2-7ebb-843c-942f6ac8049e","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h25.20.752",NA,NA,831.285,831.285,831.285,831.64,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.209,828.324,831.284,0,4,4,16,1,12,33,NA,NA,NA,NA,NA,1,5,"likert"
