"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",34.7229,37.6408,37.6422,37.6431,37.6434,37.9889,0,0,0,3,1,3,27,TRUE,3,2.3841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",37.9916,40.9869,40.9872,41.2341,41.2342,41.3345,0,1,1,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",41.3384,44.3363,44.3367,44.3368,44.3369,44.6839,0,2,2,1,1,100,50,TRUE,5,1.7526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",44.6867,47.6943,47.6946,47.6946,47.6946,48.0415,0,3,3,4,1,30,40,TRUE,4,1.7986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",48.0473,51.0387,51.039,51.0391,51.0391,51.3937,0,4,4,2,1,14,45,TRUE,5,2.4368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,203.3156,203.317,203.3175,203.6618,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.0101,200.3914,203.3144,0,0,0,78,1,95,31,NA,NA,NA,NA,NA,1,1,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,206.6562,206.6564,206.6564,207.0053,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.7556,203.6649,206.6559,0,1,1,101,1,180,54,NA,NA,NA,NA,NA,1,2,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,210.0075,210.0076,210.0077,210.3638,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.3086,207.0084,210.0071,0,2,2,57,1,45,35,NA,NA,NA,NA,NA,1,3,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,213.364,213.3641,213.3641,213.7129,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8333,210.3682,213.3637,0,3,3,18,1,14,25,NA,NA,NA,NA,NA,1,4,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,216.7197,216.7199,216.7199,217.0585,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.6607,213.7152,216.7194,0,4,4,11,1,10,32,NA,NA,NA,NA,NA,1,5,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,220.0631,220.0633,220.0633,220.4057,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.1218,217.0632,220.0629,0,5,5,61,1,50,30,NA,NA,NA,NA,NA,1,6,"likert"
"1FC94F7DD8044E74B009F03B525C6441",1,"0198f788-be95-76a9-997d-fc3d69db584c","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_14h33.35.956",NA,NA,223.4036,223.4038,223.4039,223.7671,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.2363,220.4105,223.4033,0,6,6,42,1,30,26,NA,NA,NA,NA,NA,1,7,"likert"
