"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",97.9543,100.9267,100.9276,101.1759,101.1762,101.2756,0,0,0,1,1,100,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",101.2773,104.2864,104.2867,104.2868,104.2868,104.6357,0,1,1,2,1,14,45,TRUE,5,2.0134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",104.6382,107.63,107.6305,107.6305,107.6305,107.9793,0,2,2,3,1,3,27,TRUE,5,1.3105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",107.9811,110.9735,110.974,110.9741,110.9741,111.3227,0,3,3,4,1,30,40,TRUE,5,1.4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",111.3245,114.3336,114.3339,114.334,114.334,114.6828,0,4,4,0,1,7,30,TRUE,5,1.4451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",NA,NA,135.794,135.7941,135.7942,136.1503,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2679,132.8207,135.7937,0,0,0,73,1,90,30,NA,NA,NA,NA,NA,1,1,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",NA,NA,139.1426,139.1426,139.1426,139.4929,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8297,136.1517,139.1422,0,1,1,37,1,28,28,NA,NA,NA,NA,NA,1,2,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",NA,NA,142.4877,142.4877,142.4877,142.8365,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.7117,139.4941,142.4874,0,2,2,23,1,14,39,NA,NA,NA,NA,NA,1,3,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",NA,NA,145.846,145.846,145.8461,146.1893,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8142,142.8381,145.8447,0,3,3,42,1,30,26,NA,NA,NA,NA,NA,1,4,"likert"
"23A12FF761D148A6BEEB143DD5E38AF1",1,"0198f77f-14cc-7f12-8997-ad69ac2fda28","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h25.13.635",NA,NA,149.2006,149.2007,149.2007,149.5488,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6778,146.1903,149.2004,0,4,4,104,1,200,35,NA,NA,NA,NA,NA,1,5,"likert"
