"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",44.0928,47.08,47.0818,47.3298,47.33,47.4294,0,0,0,2,1,14,45,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",47.4304,50.4306,50.4308,50.4309,50.431,50.7811,0,1,1,1,1,100,50,TRUE,5,1.6561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",50.7839,53.7659,53.7662,53.7662,53.7662,54.1159,0,2,2,0,1,7,30,TRUE,5,1.4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",54.117,57.1175,57.1177,57.1177,57.1177,57.4677,0,3,3,3,1,3,27,TRUE,4,1.6143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",57.4693,60.4694,60.4695,60.4695,60.4696,60.8196,0,4,4,4,1,30,40,TRUE,5,1.5998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",NA,NA,88.7998,88.7999,88.8,89.1497,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.9504,85.829,88.7996,0,0,0,94,1,150,47,NA,NA,NA,NA,NA,1,1,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",NA,NA,92.1512,92.1512,92.1512,92.5016,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2669,89.1504,92.1511,0,1,1,18,1,14,25,NA,NA,NA,NA,NA,1,2,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",NA,NA,95.4869,95.4869,95.4869,95.8368,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6285,92.5038,95.4866,0,2,2,75,1,90,40,NA,NA,NA,NA,NA,1,3,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",NA,NA,98.8378,98.8378,98.8378,99.1883,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4012,95.839,98.8376,0,3,3,54,1,45,26,NA,NA,NA,NA,NA,1,4,"likert"
"291116C20C764C60BF80AF13A7C8F97A",1,"0198f77e-dc07-72b9-90ca-e0526299966f","0198f768-e4d2-711c-944b-6f03c09216de","2025-08-29_15h23.14.019",NA,NA,102.1901,102.1901,102.1901,102.5398,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3998,99.1897,102.1899,0,4,4,91,1,150,33,NA,NA,NA,NA,NA,1,5,"likert"
