"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",30.2507,33.2442,33.2447,33.4781,33.4783,33.5886,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",33.5903,36.5778,36.5779,36.578,36.578,36.9419,0,1,1,1,1,100,50,TRUE,1,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",36.9434,39.9439,39.944,40.1941,40.1942,40.2878,0,2,2,0,1,7,30,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",40.2895,43.2811,43.2811,43.2811,43.2812,43.6438,0,3,3,3,1,3,27,TRUE,5,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",43.6449,46.6436,46.6437,46.6437,46.6437,46.9935,0,4,4,2,1,14,45,TRUE,5,0.9491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",NA,NA,98.8264,98.8267,98.8268,99.1715,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.743,95.839,98.8263,0,0,0,20,1,14,28,NA,NA,NA,NA,NA,1,1,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",NA,NA,102.1716,102.4214,102.4215,102.5262,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,99.1729,102.1713,0,1,1,60,1,50,27,NA,NA,NA,NA,NA,1,2,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",NA,NA,105.5218,105.5219,105.5219,105.871,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.0711,102.5276,105.5215,0,2,2,70,1,60,47,NA,NA,NA,NA,NA,1,3,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",NA,NA,108.8714,108.8715,108.8715,109.2211,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.0677,105.8725,108.8709,0,3,3,93,1,150,40,NA,NA,NA,NA,NA,1,4,"likert"
"3975392668B548F4866ED6F1FAEC3C4B",1,"01990a98-6111-79f7-a630-e93c55104679","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.00.579",NA,NA,112.2264,112.2264,112.2264,112.5709,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0.7893,109.2229,112.2263,0,4,4,32,1,25,31,NA,NA,NA,NA,NA,1,5,"likert"
