"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",10.3125,13.2573,13.2585,13.2591,13.2593,13.592,0,0,0,3,1,3,27,TRUE,2,2.5993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",13.595,16.596,16.5962,16.5962,16.5962,16.9296,0,1,1,1,1,100,50,TRUE,4,1.0436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",16.9323,19.9912,19.9914,20,20.0002,20.3415,0,2,2,4,1,30,40,TRUE,3,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",20.3427,23.2946,23.2948,23.2949,23.295,23.6541,0,3,3,0,1,7,30,TRUE,1,0.6862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",23.6565,26.6551,26.6552,26.6553,26.6553,27.0111,0,4,4,2,1,14,45,TRUE,2,0.5872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",NA,NA,45.9084,45.9084,45.9085,46.2984,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.614,43.0026,45.908,0,0,0,94,1,150,47,NA,NA,NA,NA,NA,1,1,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",NA,NA,49.2867,49.2868,49.2869,49.6274,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.7601,46.3014,49.2864,0,1,1,83,1,95,54,NA,NA,NA,NA,NA,1,2,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",NA,NA,52.6767,52.6769,52.677,52.9524,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0.3043,49.6308,52.6765,0,2,2,84,1,100,26,NA,NA,NA,NA,NA,1,3,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",NA,NA,55.9832,55.9834,55.9834,56.3441,NA,NA,NA,NA,NA,NA,NA,TRUE,3,0.0083,52.9539,55.983,0,3,3,80,1,95,35,NA,NA,NA,NA,NA,1,4,"likert"
"3B2918D43F064EE3802519993EF8A39F",1,"01990a9b-429e-71da-863d-43c42d7b8d70","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_06h41.54.885",NA,NA,59.3948,59.3949,59.3949,59.6781,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0.6932,56.3453,59.3946,0,4,4,50,1,40,35,NA,NA,NA,NA,NA,1,5,"likert"
