"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",64.531,67.5,67.5,67.507,67.507,67.85,0,0,0,2,1,14,45,TRUE,5,2.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",67.853,70.849,70.849,70.849,70.849,71.198,0,1,1,0,1,7,30,TRUE,5,1.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",71.201,74.198,74.199,74.199,74.199,74.548,0,2,2,4,1,30,40,TRUE,5,1.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",74.551,77.547,77.547,77.547,77.547,77.897,0,3,3,1,1,100,50,TRUE,1,2.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",77.899,80.896,80.896,80.897,80.897,81.246,0,4,4,3,1,3,27,TRUE,5,1.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",NA,NA,151.197,151.197,151.197,151.546,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.791,148.217,151.196,0,0,0,34,1,25,35,NA,NA,NA,NA,NA,1,1,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",NA,NA,154.546,154.546,154.547,154.895,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.382,151.549,154.546,0,1,1,79,1,95,33,NA,NA,NA,NA,NA,1,2,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",NA,NA,157.896,157.897,157.897,158.244,NA,NA,NA,NA,NA,NA,NA,TRUE,5,2.95,154.902,157.896,0,2,2,14,1,12,28,NA,NA,NA,NA,NA,1,3,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",NA,NA,161.244,161.244,161.244,161.596,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.255,158.247,161.243,0,3,3,18,1,14,25,NA,NA,NA,NA,NA,1,4,"likert"
"3D6D27F2764846F28AA44565B5F845C1",1,"01990a98-560d-7de2-9e1c-b37ccd187dc0","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h24.55.945",NA,NA,164.593,164.593,164.593,164.942,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.259,161.6,164.592,0,4,4,68,1,60,35,NA,NA,NA,NA,NA,1,5,"likert"
