"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",102.9506,105.8715,105.8745,106.1197,106.1199,106.2198,0,0,0,4,1,30,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",106.2217,109.2199,109.2202,109.2203,109.2204,109.5697,0,1,1,3,1,3,27,TRUE,3,1.4846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",109.5736,112.5727,112.573,112.5732,112.5735,112.9192,0,2,2,0,1,7,30,TRUE,4,2.9537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",112.9206,115.9195,115.9199,115.92,115.92,116.2692,0,3,3,1,1,100,50,TRUE,4,1.8753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",116.2716,119.2694,119.2698,119.27,119.2701,119.6194,0,4,4,2,1,14,45,TRUE,4,1.8157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",NA,NA,266.5143,266.5146,266.5149,266.8632,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.0325,263.5646,266.5134,0,0,0,100,1,180,46,NA,NA,NA,NA,NA,1,1,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",NA,NA,269.8624,270.1124,270.1126,270.2121,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,266.8664,269.8622,0,1,1,67,1,60,33,NA,NA,NA,NA,NA,1,2,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",NA,NA,273.2131,273.2132,273.2133,273.5622,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.2017,270.2136,273.2128,0,2,2,63,1,50,40,NA,NA,NA,NA,NA,1,3,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",NA,NA,276.5627,276.5628,276.5628,276.912,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5016,273.5649,276.5624,0,3,3,30,1,25,27,NA,NA,NA,NA,NA,1,4,"likert"
"3D7D72CEA1F6413D961CE185176CE502",1,"01990a97-fcff-7eac-ad82-f099b767d6cd","01990a84-c4ee-73c2-a87b-ff46a7d3dde5","2025-09-02_09h23.02.958",NA,NA,279.913,279.9131,279.9131,280.2619,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.3737,276.9148,279.9126,0,4,4,41,1,28,46,NA,NA,NA,NA,NA,1,5,"likert"
