"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",29.3772,32.344,32.3445,32.3447,32.3448,32.7028,0,0,0,1,1,100,50,TRUE,4,2.8088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",32.7045,35.6997,35.6999,35.9504,35.9505,36.0403,0,1,1,3,1,3,27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",36.0423,39.0373,39.0374,39.0374,39.0374,39.3963,0,2,2,0,1,7,30,TRUE,5,0.0355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",39.3973,42.393,42.3932,42.3933,42.3933,42.752,0,3,3,2,1,14,45,TRUE,2,2.3694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",42.7534,45.7491,45.7492,45.7492,45.7492,46.0902,0,4,4,4,1,30,40,TRUE,2,1.7469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,65.9396,65.9402,65.9405,66.2791,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6456,62.9647,65.9391,0,0,0,52,1,40,47,NA,NA,NA,NA,NA,1,1,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,69.2945,69.5275,69.5275,69.6353,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,66.2811,69.2944,0,1,1,72,1,90,26,NA,NA,NA,NA,NA,1,2,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,72.6338,72.6338,72.6339,72.9915,NA,NA,NA,NA,NA,NA,NA,TRUE,3,2.4026,69.6364,72.6337,0,2,2,51,1,40,40,NA,NA,NA,NA,NA,1,3,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,75.9887,75.9887,75.9887,76.3296,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6285,72.9934,75.9886,0,3,3,99,1,180,39,NA,NA,NA,NA,NA,1,4,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,79.3273,79.3273,79.3275,79.6862,NA,NA,NA,NA,NA,NA,NA,TRUE,5,1.9231,76.3303,79.3273,0,4,4,17,1,12,35,NA,NA,NA,NA,NA,1,5,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,82.6832,82.6832,82.6832,83.042,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.1171,79.6873,82.683,0,5,5,95,1,150,54,NA,NA,NA,NA,NA,1,6,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,86.0401,86.0401,86.0401,86.3811,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4286,83.0428,86.04,0,6,6,36,1,28,26,NA,NA,NA,NA,NA,1,7,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,89.3945,89.3946,89.3946,89.7349,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.881,86.3817,89.3944,0,7,7,20,1,14,28,NA,NA,NA,NA,NA,1,8,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,92.7315,92.7316,92.7316,93.0904,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.0774,89.7358,92.7315,0,8,8,71,1,60,54,NA,NA,NA,NA,NA,1,9,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,96.0876,96.0876,96.0876,96.4286,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6723,93.0911,96.0874,0,9,9,6,1,10,25,NA,NA,NA,NA,NA,1,10,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,99.4441,99.4442,99.4442,99.7855,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2193,96.4295,99.444,0,10,10,37,1,28,28,NA,NA,NA,NA,NA,1,11,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,102.7823,102.7823,102.7823,103.1413,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.0957,99.7869,102.7821,0,11,11,31,1,25,29,NA,NA,NA,NA,NA,1,12,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,106.1394,106.1394,106.1394,106.4801,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.8503,103.1422,106.1392,0,12,12,59,1,45,46,NA,NA,NA,NA,NA,1,13,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,109.4779,109.4779,109.4779,109.8368,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4521,106.4808,109.4778,0,13,13,90,1,150,31,NA,NA,NA,NA,NA,1,14,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,112.832,112.8321,112.8321,113.1909,NA,NA,NA,NA,NA,NA,NA,TRUE,3,1.6833,109.8379,112.832,0,14,14,15,1,12,31,NA,NA,NA,NA,NA,1,15,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,116.1877,116.1877,116.1877,116.5284,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6208,113.1916,116.1875,0,15,15,1,1,7,26,NA,NA,NA,NA,NA,1,16,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,119.5415,119.5415,119.5416,119.8814,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.2048,116.5291,119.5414,0,16,16,28,1,21,32,NA,NA,NA,NA,NA,1,17,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,122.8892,122.8892,122.8892,123.2295,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0226,119.882,122.889,0,17,17,68,1,60,35,NA,NA,NA,NA,NA,1,18,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,126.2271,126.2271,126.2271,126.5859,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.8458,123.2305,126.2269,0,18,18,50,1,40,35,NA,NA,NA,NA,NA,1,19,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,129.5846,129.5846,129.5847,129.9426,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7085,126.5868,129.5843,0,19,19,0,1,7,25,NA,NA,NA,NA,NA,1,20,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,132.9399,132.94,132.94,133.2807,NA,NA,NA,NA,NA,NA,NA,TRUE,4,2.2663,129.9435,132.9398,0,20,20,22,1,14,35,NA,NA,NA,NA,NA,1,21,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,136.2788,136.2789,136.2789,136.6378,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.2764,133.2815,136.2787,0,21,21,107,1,200,54,NA,NA,NA,NA,NA,1,22,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,139.6361,139.6361,139.6361,139.9769,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.2585,136.6385,139.6359,0,22,22,2,1,7,28,NA,NA,NA,NA,NA,1,23,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,142.9929,142.9929,142.9929,143.3339,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1066,139.978,142.9928,0,23,23,56,1,45,31,NA,NA,NA,NA,NA,1,24,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,146.3316,146.3316,146.3316,146.6905,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.5115,143.3348,146.3314,0,24,24,18,1,14,25,NA,NA,NA,NA,NA,1,25,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,149.6889,149.9397,149.9398,150.0295,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,146.6915,149.6887,0,25,25,16,1,12,33,NA,NA,NA,NA,NA,1,26,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,153.0368,153.0368,153.0368,153.3775,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6211,150.0303,153.0368,0,26,26,92,1,150,35,NA,NA,NA,NA,NA,1,27,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,156.392,156.3921,156.3921,156.7327,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.8619,153.3786,156.3919,0,27,27,94,1,150,47,NA,NA,NA,NA,NA,1,28,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,159.7291,159.7292,159.7292,160.088,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3462,156.7335,159.729,0,28,28,44,1,30,29,NA,NA,NA,NA,NA,1,29,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,163.0878,163.0879,163.088,163.428,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.259,160.0905,163.0875,0,29,29,104,1,200,35,NA,NA,NA,NA,NA,1,30,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,166.4445,166.4445,166.4445,166.7851,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.6463,163.4303,166.4443,0,30,30,39,1,28,35,NA,NA,NA,NA,NA,1,31,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,169.7833,169.7833,169.7834,170.142,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.4247,166.7872,169.783,0,31,31,81,1,95,40,NA,NA,NA,NA,NA,1,32,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,173.1403,173.1403,173.1403,173.4811,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3967,170.1446,173.1401,0,32,32,26,1,21,29,NA,NA,NA,NA,NA,1,33,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,176.4783,176.4784,176.4784,176.8372,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.1206,173.4823,176.4781,0,33,33,43,1,30,27,NA,NA,NA,NA,NA,1,34,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,179.834,179.8341,179.8341,180.1931,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.7368,176.8386,179.8338,0,34,34,80,1,95,35,NA,NA,NA,NA,NA,1,35,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,183.1915,183.1917,183.1918,183.5322,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.3483,180.1945,183.1912,0,35,35,105,1,200,39,NA,NA,NA,NA,NA,1,36,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,186.5301,186.5301,186.5301,186.889,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5455,183.5334,186.53,0,36,36,75,1,90,40,NA,NA,NA,NA,NA,1,37,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,189.8861,189.8862,189.8862,190.2271,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2119,186.8898,189.886,0,37,37,48,1,40,27,NA,NA,NA,NA,NA,1,38,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,193.2424,193.2425,193.2425,193.5831,NA,NA,NA,NA,NA,NA,NA,TRUE,4,1.9792,190.228,193.2423,0,38,38,65,1,50,54,NA,NA,NA,NA,NA,1,39,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,196.5812,196.5812,196.5812,196.9402,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5262,193.5839,196.5811,0,39,39,3,1,7,30,NA,NA,NA,NA,NA,1,40,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,199.9377,199.9377,199.9377,200.2784,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4848,196.941,199.9375,0,40,40,85,1,100,31,NA,NA,NA,NA,NA,1,41,"likert"
"46C36D77E4B247AE95721BC9779FE422",1,"0198eced-51e9-7e98-8320-4f713cae0a8f","0198c493-061b-72b6-9f09-7b914e79ecc0","2025-08-27_15h26.25.161",NA,NA,203.2942,203.2942,203.2942,203.6351,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.076,200.2791,203.294,0,41,41,30,1,25,27,NA,NA,NA,NA,NA,1,42,"likert"
